relName,mediaName
David Rawle ,海洋之歌
Mike D.Angelo Pirat Nitipaisalkul ,万万没想到
Sedona Legge ,鲨滩
YOYO ,我叫MT之山口山战记
b.d.·王,侏罗纪公园3D
b·d·王,侏罗纪世界
b·j·诺瓦克,超凡蜘蛛侠2
b·j·诺瓦克,蓝精灵
b·j·诺瓦克,蓝精灵2
c.j·亚当斯,哥斯拉
c·托马斯·豪威尔,超凡蜘蛛侠
c君,男人不可以穷
c君,八星抱喜
f·瓦伦蒂诺·莫拉雷斯,速度与激情5
j.d·艾非墨,猩球崛起：黎明之战
jagger,摇滚藏獒
jessie j,冰川时代5：星际碰撞
j·k·西蒙斯,摇滚藏獒
j·k·西蒙斯,疯狂动物城
j·k·西蒙斯,乔布斯
j·k·西蒙斯,终结者：创世纪
j·k·西蒙斯,功夫熊猫3
j·迈克尔·斯特拉辛斯基,雷神
j帕克·肯特,美国骗局
mik mik thongraya,恐怖将映
teoh kah yong,花样厨神
t·j·米勒,驯龙高手2
t·j·米勒,变形金刚4：绝迹重生
t·j·米勒,超能陆战队
w·厄尔·布朗,独行侠
丁一,笔仙撞碟仙
丁一宇,女汉子真爱公式
丁丁,中国好声音之为你转身
丁丁,少年师爷之大禹宝藏
丁世强,春蕾绽放
丁也恬,消失爱人
丁冠森,谁的青春不迷茫
丁勇岱,一夜未了情
丁勇岱,倾城
丁嘉丽,归来
丁嘉丽,黄金时代
丁嘉力,百万巨鳄
丁嘉林,迷魂之密室逃脱
丁增,转山
丁子峻,百万爱情宝贝
丁子烁,河东狮吼2
丁子玲,全城高考
丁宇辰,麻辣白玉堂之致命棋局
丁小龙,竞雄女侠秋瑾
丁巧唯,小时代
丁巧唯,小时代：青木时代
丁建钧,古堡之吻
丁强,爱
丁志诚,戒烟不戒酒
丁文博,坏蛋必须死
丁春诚,影子爱人
丁春诚,我的男友和狗
丁晟,硬汉2奉陪到底
丁曼,天空的微笑
丁柳元,小小飞虎队
丁柳元,天使：生命处方
丁柳元,雨中的树
丁柳元,天河
丁柳元,风云1927
丁柳元,忠诚与背叛
丁柳元,换个活法
丁柳元,我最好的朋友江竹筠
丁柳元,伞头和他的女人
丁汀,毕业那年
丁汇宇,恐怖游泳馆
丁海峰,北京时间
丁海峰,鸿门宴传奇
丁润琦,十二生肖城市英雄
丁溪鹤,幸福中转栈
丁绮,张震讲故事之合租屋
丁绮,侨女日记
丁羽,甜蜜蜜
丁莎莎,新天生一对
丁霖焘,兰亭
万丹青,熊出没之雪岭熊风
万丹青,熊出没之熊心归来
万仓,喜乐长安
万国鹏,恭喜发财之谈钱说爱
万国鹏,我是路人甲
万妮恩,恋爱兄弟
万思维,雷锋的微笑
万思维,爱你一生一世
万思维,一起飞
万梓良,悬赏
万梦琪,莫日根
万绮雯,追凶
万茜,圣诞玫瑰
万茜,柳如是
万荣,恭喜发财之谈钱说爱
万里,708090之深圳恋歌
三强,给你一千万
三强,毕业那年
三木科,西藏往事
三浦春马,深夜前的五分钟
三浦研一,建党伟业
三浦贵大,极速先锋
三瓶由布子,火影忍者剧场版：博人传
丛珊,太平轮：彼岸
丛珊,太平轮（上）
丛珊,戒烟不戒酒
丛珊,有一个地方只有我们知道
丛珊,亲家过年
东出昌大,寄生兽
东来东往,荒岛情未了
严丽祯,潜艇总动员3：彩虹宝藏
严丽祯,极地大反攻
严佳茵,笔仙撞碟仙
严俊熙,正·青春
严千千,女蛹
严华,武侠
严屹宽,白发魔女传之明月天国
严屹宽,爵迹
严彦子,开心超人2启源星之战
严影,爱·回家
严晓频,永远的守望
严智星,我的新野蛮女友
严沁红,双截棍
严淑琴,大地赤子史来贺
严爵,十七岁
严禹豪,泡沫之夏
严萌,青春.com
中井贵一,战国
中孝介,幸福迷途
中村千绘,火影忍者剧场版：博人传
中村靖日,垫底辣妹
中泉英雄,止杀令
中泉英雄,不肯去观音
中泉英雄,初到东京
中童西,公路美人
中野良子,不肯去观音
丹·史蒂文斯,博物馆奇妙夜3
