movieName,currentDate,releaseDate,result
201314,2012/12/31,0.0,0
201314,2013/01/01,1.0,2
201314,2013/01/02,2.0,1
201314,2013/01/03,3.0,1
201314,2013/01/04,4.0,0
201314,2013/01/05,5.0,0
201314,2013/01/06,6.0,0
201314,2013/01/07,7.0,0
201314,2013/01/08,8.0,0
201314,2013/01/09,9.0,0
201314,2013/01/10,10.0,0
201314,2013/01/11,11.0,0
201314,2013/01/12,12.0,1
201314,2013/01/13,13.0,1
201413,2013/12/31,0.0,0
201413,2014/01/01,1.0,2
201413,2014/01/02,2.0,0
201413,2014/01/03,3.0,0
201413,2014/01/04,4.0,1
201413,2014/01/05,5.0,1
201413,2014/01/06,6.0,0
201413,2014/01/07,7.0,0
201413,2014/01/08,8.0,0
201413,2014/01/09,9.0,0
201413,2014/01/10,10.0,0
201413,2014/01/11,11.0,1
201413,2014/01/12,12.0,1
201413,2014/01/13,13.0,0
“杏”福来敲门,2015/03/12,0.0,0
“杏”福来敲门,2015/03/13,0.0,0
“杏”福来敲门,2015/03/20,0.0,0
“杏”福来敲门,2015/03/26,0.0,0
“杏”福来敲门,2015/03/31,0.0,0
“杏”福来敲门,2015/04/01,0.0,0
“杏”福来敲门,2015/04/02,0.0,0
“杏”福来敲门,2015/04/03,0.0,0
“杏”福来敲门,2015/04/04,0.0,1
“杏”福来敲门,2015/04/05,0.0,2
“杏”福来敲门,2015/04/06,0.0,1
“杏”福来敲门,2015/04/22,0.0,0
“杏”福来敲门,2015/05/18,0.0,0
0.5的爱情,2014/09/12,1.0,0
0.5的爱情,2014/09/13,2.0,1
0.5的爱情,2014/09/14,3.0,1
0.5的爱情,2014/09/15,4.0,0
0.5的爱情,2014/09/16,5.0,0
0.5的爱情,2014/09/17,6.0,0
0.5的爱情,2014/09/18,7.0,0
0.5的爱情,2014/09/19,8.0,0
0.5的爱情,2014/09/20,9.0,1
0.5的爱情,2014/09/21,10.0,1
0.5的爱情,2014/09/22,11.0,0
0.5的爱情,2014/09/23,12.0,0
0.5的爱情,2014/09/24,13.0,0
0.5的爱情,2014/09/25,14.0,0
007：大破量子危机,2013/01/20,1538.0,1
007：大破量子危机,2013/01/21,1539.0,0
007：大破量子危机,2013/01/22,1540.0,0
007：大破量子危机,2013/01/23,1541.0,0
007：大破量子危机,2013/01/24,1542.0,0
007：大破量子危机,2013/01/25,1543.0,0
007：大破量子危机,2013/01/26,1544.0,1
007：大破量子危机,2013/01/27,1545.0,1
007：大破量子危机,2013/01/28,1546.0,0
007：大破量子危机,2013/01/29,1547.0,0
007：大破量子危机,2013/01/30,1548.0,0
007：大破量子危机,2013/01/31,1549.0,0
007：大破量子危机,2013/02/01,1550.0,0
007：大破量子危机,2013/02/02,1551.0,1
007：大破天幕杀机,2013/01/20,0.0,1
007：大破天幕杀机,2013/01/21,1.0,0
007：大破天幕杀机,2013/01/22,2.0,0
007：大破天幕杀机,2013/01/23,3.0,0
007：大破天幕杀机,2013/01/24,4.0,0
007：大破天幕杀机,2013/01/25,5.0,0
007：大破天幕杀机,2013/01/26,6.0,1
007：大破天幕杀机,2013/01/27,7.0,1
007：大破天幕杀机,2013/01/28,8.0,0
007：大破天幕杀机,2013/01/29,9.0,0
007：大破天幕杀机,2013/01/30,10.0,0
007：大破天幕杀机,2013/01/31,11.0,0
007：大破天幕杀机,2013/02/01,12.0,0
007：大破天幕杀机,2013/02/02,13.0,1
007：幽灵党,2015/11/12,0.0,0
007：幽灵党,2015/11/13,1.0,0
007：幽灵党,2015/11/14,2.0,1
007：幽灵党,2015/11/15,3.0,1
007：幽灵党,2015/11/16,4.0,0
007：幽灵党,2015/11/17,5.0,0
007：幽灵党,2015/11/18,6.0,0
007：幽灵党,2015/11/19,7.0,0
007：幽灵党,2015/11/20,8.0,0
007：幽灵党,2015/11/21,9.0,1
007：幽灵党,2015/11/22,10.0,1
007：幽灵党,2015/11/23,11.0,0
007：幽灵党,2015/11/24,12.0,0
007：幽灵党,2015/11/25,13.0,0
101次求婚,2013/01/03,0.0,1
101次求婚,2013/02/04,0.0,0
101次求婚,2013/02/10,0.0,2
101次求婚,2013/02/11,0.0,2
101次求婚,2013/02/12,1.0,1
101次求婚,2013/02/13,2.0,1
101次求婚,2013/02/14,3.0,1
101次求婚,2013/02/15,4.0,1
101次求婚,2013/02/16,5.0,0
101次求婚,2013/02/17,6.0,0
101次求婚,2013/02/18,7.0,0
101次求婚,2013/02/19,8.0,0
101次求婚,2013/02/20,9.0,0
101次求婚,2013/02/21,10.0,0
18岁18天,2015/03/07,0.0,1
18岁18天,2015/03/19,0.0,0
1980年代的爱情,2015/09/04,0.0,1
1980年代的爱情,2015/09/08,0.0,0
1980年代的爱情,2015/09/10,0.0,0
1980年代的爱情,2015/09/11,1.0,0
1980年代的爱情,2015/09/12,2.0,1
1980年代的爱情,2015/09/13,3.0,1
1980年代的爱情,2015/09/14,4.0,0
1980年代的爱情,2015/09/15,5.0,0
1980年代的爱情,2015/09/16,6.0,0
1980年代的爱情,2015/09/17,7.0,0
1980年代的爱情,2015/09/18,8.0,0
1980年代的爱情,2015/09/19,9.0,1
1980年代的爱情,2015/09/20,10.0,1
1980年代的爱情,2015/09/21,11.0,0
2012 3D,2013/01/03,45.0,1
2012 3D,2014/05/18,545.0,1
2012 3D,2014/05/19,546.0,0
201413爱你一世一生,2014/04/18,1.0,0
201413爱你一世一生,2014/04/19,2.0,1
201413爱你一世一生,2014/04/20,3.0,1
201413爱你一世一生,2014/04/21,4.0,0
201413爱你一世一生,2014/04/22,5.0,0
201413爱你一世一生,2014/04/23,6.0,0
201413爱你一世一生,2014/04/24,7.0,0
201413爱你一世一生,2014/04/25,8.0,0
201413爱你一世一生,2014/04/26,9.0,1
201413爱你一世一生,2014/04/27,10.0,1
201413爱你一世一生,2014/04/28,11.0,0
201413爱你一世一生,2014/04/29,12.0,0
201413爱你一世一生,2014/04/30,13.0,0
201413爱你一世一生,2014/05/01,14.0,2
2014艺术影院第一批篇目,2015/02/25,0.0,0
2014艺术影院第一批篇目,2015/02/28,0.0,0
2014艺术影院第一批篇目,2015/03/07,0.0,1
2014艺术影院第一批篇目,2016/03/09,0.0,0
2014艺术影院第一批篇目,2016/05/10,0.0,0
2014艺术影院第一批篇目,2016/07/30,0.0,1
2014艺术影院第一批篇目,2016/08/06,0.0,1
2014艺术影院第一批篇目,2016/08/28,0.0,1
2015法国新浪潮电影回顾展,2015/03/19,0.0,0
2015法国新浪潮电影回顾展,2015/03/20,0.0,0
2015法国新浪潮电影回顾展,2015/03/22,0.0,1
2015法国新浪潮电影回顾展,2015/03/26,0.0,0
2015法国新浪潮电影回顾展,2015/03/27,0.0,0
2015法国新浪潮电影回顾展,2015/03/28,0.0,1
2015法国新浪潮电影回顾展,2015/03/29,0.0,1
2015法国新浪潮电影回顾展,2015/04/21,0.0,0
2015法国新浪潮电影回顾展,2015/04/29,0.0,0
2015法国新浪潮电影回顾展,2015/04/30,0.0,0
2015年1月艺术影院国产片,2015/02/08,0.0,1
2015年1月艺术影院国产片,2015/03/08,0.0,1
2016法国电影展映活动,2016/05/18,0.0,0
2016法国电影展映活动,2016/05/19,0.0,0
2016法国电影展映活动,2016/05/20,0.0,0
2016法国电影展映活动,2016/05/22,0.0,1
2016法国电影展映活动,2016/05/28,0.0,1
2016法国电影展映活动,2016/06/27,0.0,0
2016法国电影展映活动,2016/06/28,0.0,0
2016法国电影展映活动,2016/06/29,0.0,0
2016国家大剧院国际歌剧电影展,2016/07/30,0.0,1
2016年国家大剧院国际歌剧电影展,2016/07/29,0.0,0
2016年国家大剧院国际歌剧电影展,2016/07/30,0.0,1
2016年国家大剧院国际歌剧电影展,2016/08/06,0.0,1
2016年乌兹别克斯坦电影周,2016/06/28,0.0,0
2016年意大利电影展映,2016/08/26,0.0,0
2016新西兰电影节,2016/05/19,0.0,0
21岁派对,2014/11/21,1.0,0
21岁派对,2014/11/22,2.0,1
21岁派对,2014/11/23,3.0,1
21岁派对,2014/11/24,4.0,0
21岁派对,2014/11/25,5.0,0
21岁派对,2014/11/26,6.0,0
21岁派对,2014/11/27,7.0,0
21岁派对,2014/11/28,8.0,0
21岁派对,2014/11/29,9.0,1
21岁派对,2014/11/30,10.0,1
21岁派对,2014/12/01,11.0,0
21岁派对,2014/12/02,12.0,0
21岁派对,2014/12/03,13.0,0
21岁派对,2014/12/04,14.0,0
234说爱你,2016/09/23,1.0,0
234说爱你,2016/09/24,2.0,1
234说爱你,2016/09/25,3.0,1
234说爱你,2016/09/26,4.0,0
234说爱你,2016/09/27,5.0,0
234说爱你,2016/09/28,6.0,0
234说爱你,2016/09/29,7.0,0
234说爱你,2016/09/30,8.0,0
37次想你,2014/12/23,0.0,0
37次想你,2014/12/24,1.0,0
37次想你,2014/12/25,2.0,0
37次想你,2014/12/26,3.0,0
37次想你,2014/12/27,4.0,1
37次想你,2014/12/28,5.0,1
37次想你,2014/12/29,6.0,0
37次想你,2014/12/30,7.0,0
37次想你,2014/12/31,8.0,0
37次想你,2015/01/01,9.0,2
37次想你,2015/01/02,10.0,1
37次想你,2015/01/06,14.0,0
37次想你,2015/01/09,17.0,0
37次想你,2015/01/10,18.0,1
3D食人虫,2014/10/07,0.0,1
3D食人虫,2014/10/09,0.0,0
3D食人虫,2014/10/10,1.0,0
3D食人虫,2014/10/11,2.0,0
3D食人虫,2014/10/12,3.0,1
3D食人虫,2014/10/13,4.0,0
3D食人虫,2014/10/14,5.0,0
3D食人虫,2014/10/15,6.0,0
3D食人虫,2014/10/16,7.0,0
3D食人虫,2014/10/17,8.0,0
3D食人虫,2014/10/18,9.0,1
3D食人虫,2014/10/19,10.0,1
3D食人虫,2014/10/20,11.0,0
3D食人虫,2014/10/21,12.0,0
405谋杀案,2013/03/03,0.0,1
405谋杀案,2013/03/10,0.0,1
4B青年之4楼B座,2013/09/09,0.0,0
4B青年之4楼B座,2013/09/10,1.0,0
4B青年之4楼B座,2013/09/11,2.0,0
4B青年之4楼B座,2013/09/12,3.0,0
4B青年之4楼B座,2013/09/13,4.0,0
4B青年之4楼B座,2013/09/14,5.0,1
4B青年之4楼B座,2013/09/15,6.0,1
4B青年之4楼B座,2013/09/16,7.0,0
4B青年之4楼B座,2013/09/17,8.0,0
4B青年之4楼B座,2013/09/18,9.0,0
4B青年之4楼B座,2013/09/19,10.0,2
4B青年之4楼B座,2013/09/20,11.0,1
4B青年之4楼B座,2013/09/21,12.0,1
4B青年之4楼B座,2013/09/22,13.0,0
5颗子弹,2013/05/28,1874.0,0
5颗子弹,2013/05/29,1875.0,0
5月天诺亚方舟,2013/09/16,0.0,0
5月天诺亚方舟,2013/09/17,0.0,0
5月天诺亚方舟,2013/09/18,0.0,0
5月天诺亚方舟,2013/09/19,1.0,2
5月天诺亚方舟,2013/09/20,2.0,1
5月天诺亚方舟,2013/09/21,3.0,1
5月天诺亚方舟,2013/09/22,4.0,0
5月天诺亚方舟,2013/09/23,5.0,0
5月天诺亚方舟,2013/09/24,6.0,0
5月天诺亚方舟,2013/09/25,7.0,0
5月天诺亚方舟,2013/09/26,8.0,0
5月天诺亚方舟,2013/09/27,9.0,0
5月天诺亚方舟,2013/09/28,10.0,1
5月天诺亚方舟,2013/09/29,11.0,0
708090之深圳恋歌,2016/05/19,0.0,0
708090之深圳恋歌,2016/05/20,1.0,0
708090之深圳恋歌,2016/05/21,2.0,1
708090之深圳恋歌,2016/05/22,3.0,1
708090之深圳恋歌,2016/05/23,4.0,0
708090之深圳恋歌,2016/05/24,5.0,0
708090之深圳恋歌,2016/05/25,6.0,0
708090之深圳恋歌,2016/05/26,7.0,0
708090之深圳恋歌,2016/05/27,8.0,0
708090之深圳恋歌,2016/05/28,9.0,1
708090之深圳恋歌,2016/05/29,10.0,1
708090之深圳恋歌,2016/05/30,11.0,0
708090之深圳恋歌,2016/05/31,12.0,0
708090之深圳恋歌,2016/06/02,14.0,0
80’后,2014/02/21,1338.0,0
80后的独立宣言,2014/02/18,0.0,0
80后的独立宣言,2014/02/21,1.0,0
80后的独立宣言,2014/02/22,2.0,1
80后的独立宣言,2014/02/23,3.0,1
80后的独立宣言,2014/02/24,4.0,0
80后的独立宣言,2014/02/25,5.0,0
80后的独立宣言,2014/02/26,6.0,0
80后的独立宣言,2014/02/27,7.0,0
80后的独立宣言,2014/02/28,8.0,0
80后的独立宣言,2014/03/01,9.0,1
80后的独立宣言,2014/03/02,10.0,1
80后的独立宣言,2014/03/04,12.0,0
80后的独立宣言,2014/03/05,13.0,0
80后的独立宣言,2014/03/06,14.0,0
81号农场之保卫麦咭,2013/09/28,1.0,1
81号农场之保卫麦咭,2013/09/29,2.0,0
81号农场之保卫麦咭,2013/09/30,3.0,0
81号农场之保卫麦咭,2013/10/01,4.0,2
81号农场之保卫麦咭,2013/10/02,5.0,2
81号农场之保卫麦咭,2013/10/03,6.0,2
81号农场之保卫麦咭,2013/10/04,7.0,1
81号农场之保卫麦咭,2013/10/05,8.0,1
81号农场之保卫麦咭,2013/10/06,9.0,1
81号农场之保卫麦咭,2013/10/07,10.0,1
81号农场之保卫麦咭,2013/10/08,11.0,0
81号农场之保卫麦咭,2013/10/09,12.0,0
81号农场之保卫麦咭,2013/10/10,13.0,0
81号农场之保卫麦咭,2013/10/11,14.0,0
81号农场之疯狂的麦咭,2014/09/29,0.0,0
81号农场之疯狂的麦咭,2014/09/30,0.0,0
81号农场之疯狂的麦咭,2014/10/01,1.0,2
81号农场之疯狂的麦咭,2014/10/02,2.0,2
81号农场之疯狂的麦咭,2014/10/03,3.0,2
81号农场之疯狂的麦咭,2014/10/04,4.0,1
81号农场之疯狂的麦咭,2014/10/05,5.0,1
81号农场之疯狂的麦咭,2014/10/06,6.0,1
81号农场之疯狂的麦咭,2014/10/07,7.0,1
81号农场之疯狂的麦咭,2014/10/08,8.0,0
81号农场之疯狂的麦咭,2014/10/09,9.0,0
81号农场之疯狂的麦咭,2014/10/10,10.0,0
81号农场之疯狂的麦咭,2014/10/11,11.0,0
81号农场之疯狂的麦咭,2014/10/12,12.0,1
9号女神,2014/01/08,0.0,0
9号女神,2014/01/09,1.0,0
9号女神,2014/01/10,2.0,0
9号女神,2014/01/11,3.0,1
9号女神,2014/01/12,4.0,1
9号女神,2014/01/13,5.0,0
9号女神,2014/01/14,6.0,0
9号女神,2014/01/15,7.0,0
9号女神,2014/01/16,8.0,0
9号女神,2014/01/18,10.0,1
9号女神,2014/01/19,11.0,1
B+侦探,2013/01/10,623.0,0
B+侦探,2013/01/12,625.0,1
B+侦探,2013/01/13,626.0,1
B+侦探,2013/01/16,629.0,0
B+侦探,2013/01/23,636.0,0
B+侦探,2013/01/27,640.0,1
B+侦探,2013/01/28,641.0,0
B+侦探,2013/01/29,642.0,0
B+侦探,2013/03/25,697.0,0
B+侦探,2013/04/03,706.0,0
B+侦探,2013/04/10,713.0,0
B+侦探,2013/04/16,719.0,0
B+侦探,2013/05/03,736.0,0
B+侦探,2013/05/06,739.0,0
B区32号,2013/01/04,582.0,0
B区32号,2013/01/06,584.0,0
B区32号,2013/01/07,585.0,0
B区32号,2013/01/09,587.0,0
B区32号,2013/01/10,588.0,0
B区32号,2013/02/02,611.0,1
B区32号,2013/02/21,630.0,0
B区32号,2013/03/04,641.0,0
B区32号,2013/04/04,672.0,2
B区32号,2013/04/21,689.0,1
B区32号,2013/04/24,692.0,0
B区32号,2013/04/27,695.0,0
B区32号,2013/04/28,696.0,0
B区32号,2013/04/29,697.0,1
CCG EXPO动画电影展,2016/07/16,0.0,1
CCG EXPO动画电影展映,2016/07/16,0.0,1
Hello！树先生！,2014/09/06,1038.0,1
Hello！树先生！,2014/09/07,1039.0,1
Hello！树先生！,2014/09/08,1040.0,2
Hello！树先生！,2015/02/26,1211.0,0
Hello！树先生！,2015/03/01,1214.0,1
Hi，高考君,2016/08/21,3.0,1
Hi，高考君,2016/08/22,4.0,0
Hi，高考君,2016/08/23,5.0,0
Hi，高考君,2016/08/24,6.0,0
Hi，高考君,2016/08/25,7.0,0
Hi，高考君,2016/08/26,8.0,0
Hi，高考君,2016/08/27,9.0,1
Hi，高考君,2016/08/28,10.0,1
Hi，高考君,2016/08/29,11.0,0
Hi，高考君,2016/08/30,12.0,0
Hi，高考君,2016/08/31,13.0,0
Hi，高考君,2016/09/01,14.0,0
Hi，高考君,2016/09/02,15.0,0
Hi，高考君,2016/09/03,16.0,1
HOLD住爱,2016/02/18,1275.0,0
HOLD住爱,2016/04/11,1328.0,0
HOLD住爱,2016/04/25,1342.0,0
HOLD住爱,2016/05/19,1366.0,0
HOLD住爱,2016/05/20,1367.0,0
N见钟情,2015/01/03,0.0,1
N见钟情,2015/01/22,0.0,0
U盘,2014/01/31,1.0,2
