relName,mediaName
20th Century Fox Animation ,冰川时代：星际碰撞
20th Century Fox Animation ,森林战士
20th Century Fox Animation ,里约大冒险2
20th Century Fox Animation ,冰川时代：融冰之灾
20th Century Fox Animation ,冰川时代5：星际碰撞
20th Century Fox Animation ,史努比：花生大电影
20th Century Fox Animation ,里约大冒险
20世纪福克斯公司,猩球崛起：黎明之战
20世纪福克斯德国分公司,猩球崛起：黎明之战
20世纪福克斯电影公司,X战警：逆转未来
20世纪福克斯电影公司,X战警：天启
20世纪福克斯电影公司,移动迷宫
20世纪福克斯电影公司,金刚狼2
20世纪福克斯电影公司,猩球崛起
20世纪福克斯电影公司,虎胆龙威5
20世纪福克斯电影公司,泰坦尼克号3D
20世纪福克斯电影公司,火星救援
20世纪福克斯电影公司,独立日：卷土重来
20世纪福斯家庭娱乐电影公司,冰川时代5：星际碰撞
22h22有限责任公司,白幽灵传奇之绝命逃亡
3d中华有限公司,超越那一天
5150 Action ,星际迷航3：超越星辰
5150 Action ,忍者神龟2：破影而出
58同城,精灵王座
58影业,精灵王座
852电影制作有限公司,全力扣杀
999 Holdings ,红色警戒999
A Grand Elephant ,花样厨神
A113 ,明日世界
ARD Degeto Film GmbH ,云图
AREA51 Media Group ,在劫难逃
Amazon Prime Instant Video ,巴黎危机
Animal Logic ,分歧者3：忠诚世界
Aniplex ,火影忍者剧场版：博人传
Anonymous Content ,红色警戒999
Anonymous Content ,巴黎危机
Anonymous Content ,荒野猎人
Anton Capital Entertainment (ACE) ,小羊肖恩
Anton Capital Entertainment (ACE) ,巴黎危机
Aperture Entertainment ,最后的巫师猎人
Appian Way ,荒野猎人
Arc Productions ,托马斯和朋友们多多岛之迷失宝藏
Arka Mediaworks ,巴霍巴利王：开端
Arka Mediaworks ,巴霍巴利王：开端
Asahi Shimbunsha ,垫底辣妹
Atmosphere Entertainment MM ,最后的巫师猎人
Atmosphere Entertainment MM LLC ,惊天战神
Autoaid Integrated Design ,哆啦A梦：新·大雄的日本诞生
BBC Cymru Wales ,神探夏洛克
Babieka ,明日世界
Bad Hat Harry Productions ,X战警：天启
Bagdasarian Productions ,鼠来宝4：萌在囧途
Bandai Namco Entertainment ,火影忍者剧场版：博人传
Bandai Visual Co. Ltd. ,宇宙英雄之超银河传说
Bang Singapore ,花样厨神
Bay Films ,关键第四号
Bazelevs Production ,他是龙
Beagle Pug Films ,泰山归来：险战丛林
BenderSpink ,超脑48小时
Bergsten Music ,超能敢死队
Berlanti Productions ,小飞侠：幻梦启航
Big Farm ,海洋之歌
Bill and Ben Productions ,魔法老师
Blitz Films ,玩命追踪
Buckaroo Entertainment ,驱魔者
Bulletproof Cupid ,佩小姐的奇幻城堡
CBC Television ,垫底辣妹
CJ E&M ,重返20岁
CJ Entertainment ,我知女人心
CLOVER FILMS PTE. LTD ,再见巨人
Campbell Grobman Films ,超脑48小时
Canadian Film or Video Production Tax Credit (CPTC) ,不明身份
Canadian Film or Video Production Tax Credit Program ,忍者神龟2：破影而出
Captivate Entertainment ,谍影重重5
Cartoon Saloon ,海洋之歌
Chartoff-Winkler Productions ,机械师2：复活
Chernin Entertainment ,遗落战境
Chernin Entertainment ,猩球崛起
Chernin Entertainment ,佩小姐的奇幻城堡
China Movie Media Group ,忍者神龟2：破影而出
Cider Mill Pictures ,绝地逃亡
Circle of Confusion ,废柴特工
Closest to the Hole Productions ,深海浩劫
Columbia Pictures ,愤怒的小鸟
Concept & Creation Mordicus Inc. ,九条命
Constantin Film Produktion GmbH ,庞贝末日
Constantin Film Produktion GmbH ,圣杯神器：骸骨之城
Convergence Entertainment ,拳皇
Cowboy Films ,黑海夺金
Cross Creek Pictures ,绝命海拔
Cruel & Unusual Films ,蝙蝠侠大战超人：正义黎明
DAS Films Ltd. ,谍影特工
DC Comics ,X特遣队
DC Entertainment ,X特遣队
DC Entertainment ,蝙蝠侠大战超人：正义黎明
DW Films Limited D W Films Limited ,大武生
Danjaq Productions ,007：幽灵党
Dark Horse Entertainment ,泰山归来：人猿大战
Dark Horse Entertainment ,泰山归来：险战丛林
Das Films ,谍影特工
Dasym Enetertainment ,绝地逃亡
Davis-Films ,不明身份
Davis-Films ,机械师2：复活
Davis-Films ,三个火枪手
Dentsu ,寄生兽
Dentsu ,爱宠大机密
Dentsu ,垫底辣妹
Dentsu ,火影忍者剧场版：博人传
Deutscher Filmfoerderfonds (DFFF) ,不明身份
Dexter Film ,大明猩
Di Bonaventura Pictures ,深海浩劫
Di Bonaventura Pictures ,变形金刚3
Digital Graphics ,海洋之歌
Disneynature ,我们诞生在中国
Donners' Company ,X战警：天启
Double Negative ,谍影重重5
Dune Entertainment ,X特遣队
Dynamo ,地心营救
EZ Films ,喝彩
Earthship Productions ,夺命深渊
Eden Rock Media ,通灵神探
Endgame Entertainment ,幻体：续命游戏
Endorfilm ,喝彩
Envision Entertainment ,谍影特工
Escape Artists ,铁拳
Escape Artists ,铁拳
Etalon film ,黑海夺金
Exclusive Media Group ,绝地逃亡
Exclusive Media Group ,再次出发
FLaMmE ,垫底辣妹
Fabrique d'Images ,诺亚方舟漂流记
Fabrique d'Images ,诺亚方舟漂流记
Fairview Entertainment ,奇幻森林
Fantefilm ,海浪
Fast 7 Productions ,速度与激情7
Feigco Entertainment ,超能敢死队
Film 44 ,卧虎藏龙：青冥宝剑
Film Face ,垫底辣妹
Film Face Productions ,垫底辣妹
Film Production Consultants ,宾虚
Film i V?st ,海浪
Film i Vast ,罪恶赎金
Film4 ,黑海夺金
FilmNation Entertainment ,废柴特工
FilmNation Entertainment ,通灵神探
Filmgate Films ,罪恶赎金
Flynn Picture Company ,末日崩塌
Flynn Picture Company ,通灵神探
Fox 2000 Pictures ,鼠来宝4：萌在囧途
Fox Filmes do Brazil ,里约大冒险
Fuqua Films ,铁拳
Fuqua Films ,铁拳
Furyu ,哆啦A梦：新·大雄的日本诞生
Future Films Ltd. ,三个火枪手
G & J CREATION PRIVATE LIMITED ,再见巨人
GFM films ,魔法老师
Gama Entertainment Partners ,忍者神龟2：破影而出
Gama Films ,忍者神龟2：破影而出
Gerard Butler Alan Siegel Entertainment ,伦敦陷落
Ghostcorps ,超能敢死队
Giraffe Pictures ,再见，在也不见
Goldcrest Pictures ,呼啸山庄
Golden Village Pictures ,哆啦A梦：新·大雄的日本诞生
Great Wight Productions/ Osford Films ,夺命深渊
GyaO ,寄生兽
HI Film Productions ,喝彩
HIT Entertainment Ltd. ,托马斯和朋友们多多岛之迷失宝藏
HKTVB ,我爱HK开心万岁
Half Circle ,地心营救
Hartswood Films ,神探夏洛克
Hasbro Inc. ,特种部队：全面反击
Hasbro Inc. ,变形金刚3
Hasbro Inc. ,变形金刚4：绝迹重生
Heaven Pictures (Beijing) The Movies Co. ,路边野餐
Hokkaido Broadcasting Company (HBC) ,垫底辣妹
Hollywood Gang Productions ,惊天战神
Homeland Pictures Limited ,寒战2
Hopscotch Features ,屠魔战士
IFF/CINV ,不明身份
Ian Bryce Productions ,变形金刚4：绝迹重生
Illumination Entertainment ,爱宠大机密
ImageMovers ,云中行走
Imagenation Abu Dhabi FZ ,深海浩劫
Imagenation Abu Dhabi FZ ,关键第四号
Infinitum Nihil Production ,雨果
InterTitle Films ,绝地逃亡
Irish DreamTime ,谍影特工
Irish Film Board ,海洋之歌
JC Group International ,绝地逃亡
Jerry Weintraub Productions ,泰山归来：人猿大战
Jerry Weintraub Productions ,泰山归来：险战丛林
KDDI Corporation ,寄生兽
KDDI Corporation ,垫底辣妹
Kadokawa ,垫底辣妹
Kerner Entertainment Company ,蓝精灵
Kinberg Genre ,X战警：天启
Klas Film ,喝彩
Knightsbridge Entertainment ,谍影特工
Kodansha Ltd. ,寄生兽
LHF Film ,伦敦陷落
LStar Capital ,超能敢死队
LStar Capital ,愤怒的小鸟大电影
LStar Capital ,云中行走
LStar Capital ,愤怒的小鸟
Lakeshore Entertainment ,灵偶契约
Lakeshore Entertainment ,屠魔战士
Legend3D ,爱丽丝梦游仙境2：镜中奇遇记
Legendary Pictures ,美少女特攻队
Legendary Pictures ,大侦探福尔摩斯2
Lennox House Films ,美少女特攻队
Leverage Entertainment ,深海浩劫
LightWorkers Media ,宾虚
Likely Story ,废柴特工
Lin Pictures ,X特遣队
M&FC ,晚秋
MANDOO Pitcures ,摇滚藏獒
ME2 Productions ,机械师2：复活
MGM-International Dist. ,特种部队：全面反击
MGM-International Dist. ,007：大破天幕杀机
Mad Hatter Entertainment ,驯龙高手2
MadRiver Pictures ,红色警戒999
Magellan Films ,海洋之歌
Magic Light Pictures ,不明身份
Mainichi Broadcasting System (MBS) K.K. ,垫底辣妹
Mandoo Pictures Co. ,摇滚藏獒
Marv Films ,飞鹰艾迪
Marvel Entertainment ,美国队长3
Marvel Entertainment ,美国队长
Marvel Entertainment ,美国队长3：英雄内战
Marvel Entertainment ,雷神
Masterpiece Pictures ,神探夏洛克
Mednick Productions ,忍者神龟2：破影而出
Mel's Cite du Cinema ,九条命
Mel's Cite du Cinema ,X战警：天启
