relName,mediaName
Dan Huang ,金门新娘
David Douglas ,狐猴之岛：马达加斯加
Doug Sweetland ,逗鸟外传
Feng Xiao ,咆哮无声
Gengxu Lu ,怒放之青春再见
Hiroaki Miyamoto ,海贼王2016剧场版
Jixing Wang ,焦裕禄
John Kafka ,疯狂侏罗纪
Junmin Li ,麦兜·我和我妈妈
Junmin Li ,麦兜我和我妈妈
Louis Schwartzberg ,神秘的未知世界
Michael Pressman ,虫样年华
Mu-zhi Duan ,球迷达人
Pakphum Wonjinda ,魔镜
Ruo Fei Gong ,老表轶事（花鼓戏）
S.S. Rajamouli ,巴霍巴利王：开端
S.S. Rajamouli ,巴霍巴利王：开端
Sean McCormack ,诺亚方舟漂流记
Sean McCormack ,诺亚方舟漂流记
Turan Tunc ,拯救第365天
Wai Man Yip ,魔宫魅影
Yiheng Chen ,腊月的春
Yoon-suk Choi ,疯狂侏罗纪
doug sweetland,逗鸟外传：萌宝满天飞
d·j·卡卢索,关键第四号
j·j·艾布拉姆斯,星际迷航：暗黑无界
j·j·艾布拉姆斯,星球大战：原力觉醒
m·奈特·沙马兰,重返地球
s·s·拉贾穆里,巴霍巴利王：开端
s·s·拉贾穆里,巴霍巴利王：开端
tao jiang,发条城市
viktor lakisov,超能太阳鸭
丁乃筝,恋爱排班表
丁亮,熊出没之雪岭熊风
丁亮,熊出没之夺宝熊兵
丁亮,熊出没之熊心归来
丁小明,失控
丁小洋,夜幕惊魂
丁小灯,风铃上的卡片
丁晟,解救吾先生
丁晟,警察故事2013
丁晟,硬汉2奉陪到底
丁荫楠,左利军
丁荫楠,启功
丁震,左利军
丁震,启功
万籁鸣,大闹天宫（动画版）
万里,做次有钱人
三木单丹,陌路惊笑
丑丑,云上太阳
丛艺,爱情狂想曲
严嘉,3D食人虫
严敏,极限挑战之皇家宝藏
严浩,浮城大亨
丹·斯坎隆,怪兽大学
丹尼斯·甘塞尔,机械师2：复活
丹尼斯·蒂姆斯特,双重身份
乌尔善,刀见笑
乌尔善,画皮2
乌尔善,寻龙诀
乌格斯·马特尔,洛克王国4：出发！巨人谷
乔·卡纳汉,人狼大战
乔·庄斯顿,美国队长
乔·怀特,安娜卡列尼娜
乔·罗素,美国队长3：英雄内战
乔·罗素,美国队长3
乔·赖特,小飞侠：幻梦启航
乔丹·席勒,三伏天
乔和平,海神密码
乔恩·卢卡斯,21岁派对
乔恩·费儒,奇幻森林
乔斯·韦登,复仇者联盟
乔斯·韦登,复仇者联盟2：奥创纪元
乔方,极地大反攻
乔治·克鲁尼,盟军夺宝队
乔纳森·理贝斯曼,忍者神龟：变种时代
乔纳森·理贝斯曼,诸神之怒
乔纳森·理贝斯曼,洛杉矶之战
九九,碟仙之毕业照
九把刀,那些年，我们一起追的女孩
九把刀,爱到底
于人,巴啦啦小魔仙之魔法的考验
于仁泰,忠烈杨家将
于博,水落石出
于向远,心灵解码
于明亮,新年来啦之大闹除夕
于胜军,洛克王国2圣龙的心愿
于胜军,洛克王国！圣龙骑士
于胜军,我是狼之火龙山大冒险
于胜军,黑猫警长之翡翠之星
于荣光,校车
于莉,金箍棒传奇
云山,天各一方
亓梅晓,拯救第365天
五百,脱轨时代
亚利桑德罗·冈萨雷斯·伊纳里图,荒野猎人
亚力山德罗·卡罗尼,功夫熊猫3
亚历克斯·普罗亚斯,神战：权力之眼
亚罗·切尼,爱宠大机密
亢宝晶,我是大熊猫
亨里克·鲁本·甘茨,罪恶赎金
仁杰,星探
付杰,赛尔号2：雷伊与迈尔斯
付滃,练胆儿
任海曜,提款机
任贤齐,落跑吧，爱情
任静,极限挑战之皇家宝藏
任飞,乳娘情
任鹏,胜利大阅兵
任鹏,江南爱情故事
任鹏远,刺夜
伊卫军,喜酒
伊能静,我是女王
伍仕贤,形影不离
伍宗德,粉红女郎之爱人快跑
伍家伟,花都之恋
伏羲,猎仇者
伦·怀斯曼,全面回忆
佐米·希尔拉,空中营救
佐米·希尔拉,鲨滩
佐米·希尔拉,不明身份
