relName,mediaName
01 Rai Cinema ,使命召唤
20th Century Fox ,普罗米修斯
20th Century Fox ,少年派的奇幻漂流
20th Century Fox ,猩球崛起
20th Century Fox ,纳尼亚传奇3
20th Century Fox ,冰川时代4：大陆漂移
20th Century Fox ,特工争风
20th Century Fox Home Entertainment ,冰川时代4：大陆漂移
20th Century Fox Netherlands ,猩球崛起
20th Century Fox Netherlands ,纳尼亚传奇3
20th Century Fox de Chile ,X战警：天启
20世纪福克斯挪威分公司,冰川时代：星际碰撞
20世纪福克斯挪威分公司,冰川时代5：星际碰撞
20世纪福克斯电影公司,移动迷宫2
20世纪福克斯电影公司,特工争风
20世纪福克斯电影公司,火星救援
20世纪福克斯电影公司,猩球崛起
20世纪福克斯电影公司,普罗米修斯
20世纪福克斯电影公司,里约大冒险
20世纪福克斯电影公司,佩小姐的奇幻城堡
20世纪福克斯电影公司,独立日：卷土重来
20世纪福克斯电影公司,飞鹰艾迪
20世纪福克斯电影公司,X战警：天启
20世纪福克斯电影公司,刀见笑
20世纪福克斯电影公司,金刚狼2
20世纪福克斯电影公司,鼠来宝4：萌在囧途
20世纪福克斯电影公司,功夫熊猫3
20世纪福克斯阿根廷分公司,冰川时代5：星际碰撞
20世纪福克斯阿根廷分公司,冰川时代：星际碰撞
20世纪福克斯阿根廷分公司,X战警：天启
20世纪福克斯阿根廷分公司,独立日：卷土重来
20世纪福克斯阿根廷分公司,佩小姐的奇幻城堡
20世纪福斯公司,X战警：天启
20世纪福斯公司,冰川时代5：星际碰撞
20世纪福斯公司,独立日：卷土重来
20世纪福斯公司,冰川时代：星际碰撞
2i Film ,爱丽丝梦游仙境2：镜中奇遇记
A-Film Distribution ,丛林有情狼
A-Film Distribution ,战略特勤组
A-Film Distribution ,女巫季节
A-Film Distribution ,惊天战神
A-Film Home Entertainment ,女巫季节
A-Film Home Entertainment ,战略特勤组
A-Film Home Entertainment ,丛林有情狼
ABC Family ,加勒比海盗4：惊涛怪浪
ABC Family ,哈利·波特与死亡圣器(下)
ACME ,青蜂侠
ACME ,不明身份
ACME ,一夜迷情
AKS Media & Entertainment ,巴霍巴利王：开端
AKS Media & Entertainment ,巴霍巴利王：开端
Aanna Films ,巴霍巴利王：开端
Aanna Films ,巴霍巴利王：开端
Ablo ,铁血精英
Acme Film ,不明身份
Acme Film ,哈利·波特与死亡圣器(下)
Acme Film ,源代码
Acme Film ,一夜迷情
Acme Film ,洛杉矶之战
Acme Film ,危情三日
Acme Film ,美少女特攻队
Adler Entertainment ,通灵神探
Adler Entertainment ,废柴特工
Aerofilms ,挪威的森林
Alchemy Pictures ,幸存者
Alexandra Films ,青蜂侠
Alfa Films ,贵族大盗
Alfa Films ,神战：权力之眼
Alfa Films ,机械师
Alfa Films ,暮光之城4：破晓（上）
Alfa Films ,深海浩劫
Alfa Films ,分歧者2：绝地反击
Alfa Films ,分歧者3：忠诚世界
Alfa Films ,惊天魔盗团2
Alfa Films ,赤焰战场
Alfa Films ,夺命深渊
Alliance ,特警判官
Alliance ,舞力对决
Alliance Films ,机械师
Alliance Films ,非常小特工之时间大盗
Alliance Films ,黑衣女人
Alliance Films ,国王的演讲
Alliance Films ,三个火枪手
Alliance Films ,惊天战神
Alliance Films ,双雄
Alliance Films ,女巫季节
Alliance Films ,天际浩劫
Alliance Vivafilm ,女巫季节
Alta Films ,呼啸山庄
Amero PT ,铁血精英
Anchor Bay Entertainment ,国王的演讲
Anchor Bay Entertainment ,非常小特工之时间大盗
Andes Films ,愤怒的小鸟
Andes Films ,猎神：冬日之战
Andes Films ,愤怒的小鸟大电影
Andes Films ,爱宠大机密
Andes Films ,宾虚
Andes Films ,超能敢死队
Andes Films ,谍影重重5
Andes Films ,精灵旅社2
Andes Films ,云中行走
Andes Films ,鲨滩
Andes Films ,魔兽
Andes Films ,星际迷航3：超越星辰
Andes Films ,忍者神龟2：破影而出
Applause Entertainment ,舞力对决
Argentina Video Home ,天际浩劫
Argentina Video Home ,女巫季节
Argentina Video Home ,雷神
Argentina Video Home ,国王的演讲
Argentina Video Home ,侏罗纪公园3D
Argentina Video Home ,美少女特攻队
Artificial Eye ,呼啸山庄
Ascot Elite Entertainment Group ,铁拳
Ascot Elite Entertainment Group ,圆梦巨人
Ascot Elite Entertainment Group ,女巫季节
Ascot Elite Entertainment Group ,铁拳
Ascot Elite Entertainment Group ,红色警戒999
Ascot Elite Entertainment Group ,废柴特工
Ascot Elite Entertainment Group ,迷踪：第九鹰团
Ascot Elite Entertainment Group ,永无止境
Ascot Elite Entertainment Group ,白雪公主之魔镜魔镜
Ascot Elite Entertainment Group ,分歧者3：忠诚世界
Ascot Elite Entertainment Group ,深海浩劫
Ascot Elite Entertainment Group ,雨果
Ascot Elite Entertainment Group ,梦宅诡影
Ascot Elite Entertainment Group ,惊天魔盗团2
Ascot Elite Entertainment Group ,幻体：续命游戏
Ascot Elite Entertainment Group ,国王的演讲
Ascot Elite Entertainment Group ,玩命追踪
Ascot Elite Entertainment Group ,吹梦巨人
Ascot Elite Entertainment Group ,赤焰战场
Ascot Elite Entertainment Group ,人狼大战
Ascot Elite Entertainment Group ,丛林有情狼
Ascot Elite Entertainment Group ,通灵神探
Ascot Elite Entertainment Group ,最后的巫师猎人
Ascot Elite Entertainment Group ,极盗者
Ascot Elite Entertainment Group ,谍影特工
Ascot Elite Entertainment Group ,模仿游戏
Ascot Elite Entertainment Group ,环形使者
Ascot Elite Entertainment Group ,神战：权力之眼
Ascot Elite Entertainment Group ,黑衣女人
Ascot Elite Entertainment Group ,再次出发
Ascot Elite Entertainment Group ,灵偶契约
Ascot Elite Entertainment Group ,林肯律师
Ascot Elite Entertainment Group ,贵族大盗
Ascot Elite Entertainment Group ,无处可逃
Audio Visual Enterprises ,黑衣女人
Audio Visual Enterprises ,赛车总动员2
Audio Visual Enterprises ,灵魂战车2：复仇时刻
Audio Visual Entertainment ,丛林有情狼
Audio Visual Entertainment ,青蜂侠
Audio Visual Entertainment ,不明身份
Audio Visual Entertainment ,洛杉矶之战
Aurum Distribution ,夺命深渊
Aurum Distribution ,环形使者
Aurum Films ,赤焰战场
Aurum Producciones ,王者之剑3D
Aurum Producciones ,夺命深渊
Aurum Producciones ,舞力对决
Aurum Producciones ,机械师
Aurum Producciones ,黑衣女人
Aurum Producciones ,通灵神探
Aurum Producciones ,赤焰战场
Aurum Producciones ,特警判官
Aurum Producciones ,双雄
Aurum Producciones ,天际浩劫
Aurum Producciones ,源代码
Aurum Producciones S.A. ,机械师
Aurum Producciones S.A. ,三个火枪手
Axinite Digicinema ,巴黎危机
Axinite Digicinema ,魔法老师
Ayngaran Video ,巴霍巴利王：开端
Ayngaran Video ,巴霍巴利王：开端
B&H Film Distribution ,愤怒的小鸟大电影
B&H Film Distribution ,愤怒的小鸟
BBC Television Centre ,神探夏洛克
BIM Distribuzione ,迷踪：第九鹰团
Bazelevs Production ,他是龙
Bazuca Films ,国王的演讲
Beijing Youshi Entertainment Co. ,魔法老师
Belga Films ,源代码
Belga Films ,神战：权力之眼
Belga Films ,分歧者3：忠诚世界
Belga Films ,使命召唤
Belga Films ,不明身份
Belga Films ,危情三日
Belga Films ,赤焰战场
Benelux Film Distributors ,一夜迷情
Benelux Film Distributors ,王者之剑3D
Benelux Film Distributors ,机械师
Benelux Film Distributors ,挪威的森林
Best Film ,女巫季节
Big Picture 2 Films ,移动迷宫2
Big Picture 2 Films ,云中行走
Big Picture 2 Films ,火星救援
Big Picture 2 Films ,超能敢死队
Big Picture 2 Films ,X战警：天启
