movieName,currentDate,releaseDate,dailyBox,totalBox
201314,2012/12/31,0,2.53,2.55
201314,2013/01/01,1,153.17,155.72
201314,2013/01/02,2,115.82,271.54
201314,2013/01/03,3,98.26,369.8
201314,2013/01/04,4,531.09,900.89
201314,2013/01/05,5,128.22,1029.11
201314,2013/01/06,6,109.31,1138.41
201314,2013/01/07,7,75.21,1213.62
201314,2013/01/08,8,24.2,1237.82
201314,2013/01/09,9,20.87,1258.69
201314,2013/01/10,10,17.97,1276.66
201314,2013/01/11,11,9.32,1285.98
201314,2013/01/12,12,9.23,1295.21
201314,2013/01/13,13,10.11,1305.32
201413,2013/12/31,0,2.31,2.31
201413,2014/01/01,1,18.33,20.64
201413,2014/01/02,2,7.03,27.68
201413,2014/01/03,3,5.71,33.38
201413,2014/01/04,4,3.24,36.62
201413,2014/01/05,5,3.14,39.76
201413,2014/01/06,6,1.8,41.57
201413,2014/01/07,7,1.32,42.89
201413,2014/01/08,8,1.03,43.93
201413,2014/01/09,9,1.54,45.46
201413,2014/01/10,10,0.37,45.83
201413,2014/01/11,11,0.49,46.33
201413,2014/01/12,12,0.54,46.86
201413,2014/01/13,13,0.19,47.05
“杏”福来敲门,2015/03/12,0,1.06,1.06
“杏”福来敲门,2015/03/13,0,1.06,2.13
“杏”福来敲门,2015/03/20,0,0.33,2.48
“杏”福来敲门,2015/03/26,0,0.28,3.06
“杏”福来敲门,2015/03/31,0,0.04,3.38
“杏”福来敲门,2015/04/01,0,0.02,3.4
“杏”福来敲门,2015/04/02,0,0.01,3.41
“杏”福来敲门,2015/04/03,0,0.06,3.47
“杏”福来敲门,2015/04/04,0,0.03,3.5
“杏”福来敲门,2015/04/05,0,0.01,3.51
“杏”福来敲门,2015/04/06,0,0.03,3.54
“杏”福来敲门,2015/04/22,0,0.59,4.13
“杏”福来敲门,2015/05/18,0,0.12,4.25
0.5的爱情,2014/09/12,1,14.14,14.14
0.5的爱情,2014/09/13,2,13.83,27.97
0.5的爱情,2014/09/14,3,11.63,39.59
0.5的爱情,2014/09/15,4,4.28,43.87
0.5的爱情,2014/09/16,5,2.29,46.16
0.5的爱情,2014/09/17,6,2.45,48.62
0.5的爱情,2014/09/18,7,1.82,50.44
0.5的爱情,2014/09/19,8,0.56,51.0
0.5的爱情,2014/09/20,9,0.91,51.91
0.5的爱情,2014/09/21,10,0.92,52.83
0.5的爱情,2014/09/22,11,0.23,53.06
0.5的爱情,2014/09/23,12,0.13,53.19
0.5的爱情,2014/09/24,13,0.61,53.8
0.5的爱情,2014/09/25,14,0.13,53.92
007：大破量子危机,2013/01/20,1538,0.18,0.18
007：大破量子危机,2013/01/21,1539,3.14,3.32
007：大破量子危机,2013/01/22,1540,2.42,5.74
007：大破量子危机,2013/01/23,1541,1.87,7.61
007：大破量子危机,2013/01/24,1542,1.68,9.3
007：大破量子危机,2013/01/25,1543,2.18,11.47
007：大破量子危机,2013/01/26,1544,2.1,13.57
007：大破量子危机,2013/01/27,1545,1.85,15.43
007：大破量子危机,2013/01/28,1546,1.4,16.82
007：大破量子危机,2013/01/29,1547,1.07,17.89
007：大破量子危机,2013/01/30,1548,0.79,18.67
007：大破量子危机,2013/01/31,1549,0.5,19.17
007：大破量子危机,2013/02/01,1550,0.38,19.55
007：大破量子危机,2013/02/02,1551,0.36,19.92
007：大破天幕杀机,2013/01/20,0,181.01,181.01
007：大破天幕杀机,2013/01/21,1,3109.46,3290.47
007：大破天幕杀机,2013/01/22,2,3199.26,6489.74
007：大破天幕杀机,2013/01/23,3,2634.03,9123.77
007：大破天幕杀机,2013/01/24,4,2420.63,11544.39
007：大破天幕杀机,2013/01/25,5,2875.35,14419.74
007：大破天幕杀机,2013/01/26,6,4142.36,18562.11
007：大破天幕杀机,2013/01/27,7,3506.79,22068.9
007：大破天幕杀机,2013/01/28,8,1659.49,23728.38
007：大破天幕杀机,2013/01/29,9,1871.27,25599.65
007：大破天幕杀机,2013/01/30,10,1559.54,27159.19
007：大破天幕杀机,2013/01/31,11,1155.88,28315.07
007：大破天幕杀机,2013/02/01,12,1086.46,29401.53
007：大破天幕杀机,2013/02/02,13,1527.32,30928.85
007：幽灵党,2015/11/12,0,519.05,519.05
007：幽灵党,2015/11/13,1,8899.47,9418.52
007：幽灵党,2015/11/14,2,12035.74,21614.32
007：幽灵党,2015/11/15,3,8917.42,30618.33
007：幽灵党,2015/11/16,4,3293.66,33911.99
007：幽灵党,2015/11/17,5,2864.67,36967.5
007：幽灵党,2015/11/18,6,2557.67,39547.05
007：幽灵党,2015/11/19,7,2071.21,41636.18
007：幽灵党,2015/11/20,8,1883.8,43540.91
007：幽灵党,2015/11/21,9,3309.64,46861.36
007：幽灵党,2015/11/22,10,2540.5,49415.15
007：幽灵党,2015/11/23,11,846.1,50281.38
007：幽灵党,2015/11/24,12,792.39,51073.77
007：幽灵党,2015/11/25,13,365.85,51475.64
101次求婚,2013/01/03,0,0.01,0.01
101次求婚,2013/02/04,0,4.88,4.89
101次求婚,2013/02/10,0,0.13,5.02
101次求婚,2013/02/11,0,7.83,12.85
101次求婚,2013/02/12,1,1483.9,1496.75
101次求婚,2013/02/13,2,1569.1,3065.85
101次求婚,2013/02/14,3,4829.98,7895.82
101次求婚,2013/02/15,4,1904.01,9799.84
101次求婚,2013/02/16,5,1274.55,11074.38
101次求婚,2013/02/17,6,1108.88,12183.26
101次求婚,2013/02/18,7,923.62,13106.88
101次求婚,2013/02/19,8,948.62,14055.51
101次求婚,2013/02/20,9,868.19,14923.69
101次求婚,2013/02/21,10,787.05,15710.74
18岁18天,2015/03/07,0,0.34,0.34
18岁18天,2015/03/19,0,0.04,0.59
1980年代的爱情,2015/09/04,0,0.26,0.26
1980年代的爱情,2015/09/08,0,0.96,1.22
1980年代的爱情,2015/09/10,0,2.62,3.84
1980年代的爱情,2015/09/11,1,34.32,38.16
1980年代的爱情,2015/09/12,2,37.62,75.78
1980年代的爱情,2015/09/13,3,19.32,95.1
1980年代的爱情,2015/09/14,4,9.48,104.58
1980年代的爱情,2015/09/15,5,8.99,113.57
1980年代的爱情,2015/09/16,6,9.37,122.94
1980年代的爱情,2015/09/17,7,6.96,129.9
1980年代的爱情,2015/09/18,8,6.71,136.6
1980年代的爱情,2015/09/19,9,7.37,143.98
1980年代的爱情,2015/09/20,10,7.58,151.56
1980年代的爱情,2015/09/21,11,2.96,154.52
2012 3D,2013/01/03,45,0.02,13688.41
2012 3D,2014/05/18,545,0.02,13688.44
2012 3D,2014/05/19,546,0.01,13688.44
201413爱你一世一生,2014/04/18,1,32.12,32.12
201413爱你一世一生,2014/04/19,2,51.09,83.21
201413爱你一世一生,2014/04/20,3,21.32,104.53
201413爱你一世一生,2014/04/21,4,5.22,109.75
201413爱你一世一生,2014/04/22,5,5.11,114.86
