movieName,releaseMonth,dailyBox
007：大破天幕杀机,01,181.01
007：大破天幕杀机,01,3109.46
007：大破天幕杀机,01,3199.26
007：大破天幕杀机,01,2634.03
007：大破天幕杀机,01,2420.63
007：大破天幕杀机,01,2875.35
007：大破天幕杀机,01,4142.36
007：大破天幕杀机,01,3506.79
007：大破天幕杀机,01,1659.49
007：大破天幕杀机,01,1871.27
007：大破天幕杀机,01,1559.54
007：大破天幕杀机,01,1155.88
007：大破量子危机,01,0.18
007：大破量子危机,01,3.14
007：大破量子危机,01,2.42
007：大破量子危机,01,1.87
007：大破量子危机,01,1.68
007：大破量子危机,01,2.18
007：大破量子危机,01,2.1
007：大破量子危机,01,1.85
007：大破量子危机,01,1.4
007：大破量子危机,01,1.07
007：大破量子危机,01,0.79
007：大破量子危机,01,0.5
101次求婚,01,0.01
2012 3D,01,0.02
201314,01,153.17
201314,01,115.82
201314,01,98.26
201314,01,531.09
201314,01,128.22
201314,01,109.31
201314,01,75.21
201314,01,24.2
201314,01,20.87
201314,01,17.97
201314,01,9.32
201314,01,9.23
201314,01,10.11
201413,01,18.33
201413,01,7.03
201413,01,5.71
201413,01,3.24
201413,01,3.14
201413,01,1.8
201413,01,1.32
201413,01,1.03
201413,01,1.54
201413,01,0.37
201413,01,0.49
201413,01,0.54
201413,01,0.19
37次想你,01,0.99
37次想你,01,0.33
37次想你,01,0.28
37次想你,01,0.13
37次想你,01,0.25
9号女神,01,0.02
9号女神,01,1.82
9号女神,01,0.93
9号女神,01,0.92
9号女神,01,0.87
9号女神,01,0.26
9号女神,01,0.06
9号女神,01,0.06
9号女神,01,0.06
9号女神,01,0.08
9号女神,01,0.03
B+侦探,01,0.01
B+侦探,01,0.01
B+侦探,01,0.01
B+侦探,01,0.01
B+侦探,01,0.01
B+侦探,01,0.04
B+侦探,01,0.01
B+侦探,01,0.01
B区32号,01,0.01
B区32号,01,0.01
B区32号,01,0.0
B区32号,01,0.01
B区32号,01,0.01
N见钟情,01,0.45
N见钟情,01,0.14
U盘,01,7.4
一九四二,01,14.86
一九四二,01,16.28
一九四二,01,12.02
一九四二,01,8.12
一九四二,01,7.04
一九四二,01,7.89
一九四二,01,5.2
一九四二,01,6.63
一九四二,01,6.72
一九四二,01,3.3
一九四二,01,5.09
一九四二,01,4.34
一九四二,01,3.15
一代宗师,01,13.27
一代宗师,01,84.2
一代宗师,01,3091.52
一代宗师,01,2401.01
一代宗师,01,2070.75
一代宗师,01,2495.89
一代宗师,01,3742.22
一代宗师,01,2832.5
一代宗师,01,1221.67
一代宗师,01,1266.76
一代宗师,01,987.29
一代宗师,01,934.36
一代宗师,01,1160.68
一代宗师,01,1789.6
一代宗师3D,01,535.73
一代宗师3D,01,780.57
一代宗师3D,01,927.94
一代宗师3D,01,850.89
一代宗师3D,01,445.06
一代宗师3D,01,554.69
一代宗师3D,01,500.3
一代宗师3D,01,423.84
一代宗师3D,01,349.17
一代宗师3D,01,364.76
一代宗师3D,01,343.04
一代宗师3D,01,34.03
一代宗师3D,01,37.1
一代宗师3D,01,33.0
一切都好,01,1084.81
一切都好,01,490.38
一切都好,01,455.39
一切都好,01,23.91
一切都好,01,19.57
一切都好,01,13.45
一切都好,01,12.94
一夜成名,01,0.01
一夜成名,01,0.02
一夜成名,01,0.01
一夜成名,01,0.01
一家老小向前冲,01,1.82
一家老小向前冲,01,0.91
一家老小向前冲,01,60.03
一家老小向前冲,01,34.01
一家老小向前冲,01,45.46
一家老小向前冲,01,14.25
一家老小向前冲,01,10.16
一家老小向前冲,01,8.71
一家老小向前冲,01,7.68
一家老小向前冲,01,3.41
一家老小向前冲,01,2.62
一家老小向前冲,01,1.94
一念天堂,01,2030.9
一念天堂,01,1315.1
一念天堂,01,776.86
一念天堂,01,180.54
一念天堂,01,138.74
一念天堂,01,132.49
一念天堂,01,106.06
一念天堂,01,113.05
一念天堂,01,20.78
一念天堂,01,19.08
一念天堂,01,12.9
一江明烛,01,4.06
一江明烛,01,0.05
一江明烛,01,0.05
一生有爱,01,0.04
一触即发,01,24.24
一触即发,01,1814.24
一触即发,01,2219.83
一触即发,01,1916.44
一触即发,01,1056.19
一触即发,01,1086.9
一触即发,01,1010.06
一触即发,01,956.5
一触即发,01,1037.49
一触即发,01,1089.14
一触即发,01,950.28
一触即发,01,837.56
一触即发,01,829.13
一触即发,01,712.85
三国之见龙卸甲,01,0.03
三国之见龙卸甲,01,0.02
三国之见龙卸甲,01,0.04
三国之见龙卸甲,01,0.05
三国之见龙卸甲,01,0.05
三国之见龙卸甲,01,0.09
三月情流感,01,0.04
三笑之才子佳人,01,0.01
三笑之才子佳人,01,0.01
不是钱的事,01,0.49
不是钱的事,01,0.25
不是钱的事,01,0.19
不是闹着玩的,01,0.01
不是闹着玩的,01,0.02
不爱不散,01,0.01
不爱不散,01,0.03
不爱不散,01,15.13
不爱不散,01,10.4
不爱不散,01,10.08
不爱不散,01,4.41
不爱不散,01,4.73
不爱不散,01,4.26
不爱不散,01,2.59
不爱不散,01,1.9
不爱不散,01,6.55
不爱不散,01,1.89
不爱不散,01,0.87
不爱不散,01,0.63
不能忘却的长征,01,0.0
不能忘却的长征,01,0.0
丛林有情狼,01,0.03
丛林有情狼,01,0.07
丛林有情狼,01,0.01
丛林有情狼,01,0.01
丛林有情狼,01,0.01
丛林有情狼,01,0.01
东北偏北,01,0.56
东北偏北,01,0.46
东北偏北,01,0.18
东方大港,01,1.3
中国好声音之为你转身,01,4.63
中国好声音之为你转身,01,4.04
中国好声音之为你转身,01,1.22
中国好声音之为你转身,01,51.32
中国好声音之为你转身,01,24.21
中国好声音之为你转身,01,2.27
为梦想，跑,01,0.31
为梦想，跑,01,0.02
为梦想，跑,01,0.03
为梦想，跑,01,0.26
为梦想，跑,01,0.27
乌龙戏凤2012,01,0.01
乌龙戏凤2012,01,0.02
乌龙戏凤2012,01,0.02
乐队,01,0.14
乐队,01,0.06
乐队,01,0.06
乐队,01,0.02
乐队,01,0.02
乐队,01,0.05
乐队,01,0.04
乐队,01,0.06
乐队,01,0.04
乐队,01,0.02
九局下半,01,0.12
二次曝光,01,0.02
云中行走,01,12.11
云中行走,01,1289.49
云中行走,01,1552.56
云中行走,01,1539.19
云中行走,01,828.95
云中行走,01,731.37
云中行走,01,688.05
云中行走,01,609.45
云中行走,01,231.29
云中行走,01,321.33
云中行走,01,283.17
云图,01,0.02
云图,01,25.74
云图,01,1624.43
云朵上的羊角花,01,0.01
云朵上的羊角花,01,0.01
云朵上的羊角花,01,0.01
云朵上的羊角花,01,0.02
云朵上的羊角花,01,0.01
亚瑟和他的迷你王国2,01,0.02
亚瑟和他的迷你王国2,01,0.01
亚瑟和他的迷你王国2,01,0.02
亡命地中海,01,242.1
亡命地中海,01,185.21
亡命地中海,01,96.25
亡命地中海,01,100.04
亡命地中海,01,91.52
亡命地中海,01,57.58
亡命地中海,01,11.91
亡命地中海,01,16.15
亡命地中海,01,15.71
亡命地中海,01,8.6
亡命地中海,01,9.45
亡命地中海,01,9.99
亡命地中海,01,9.86
亡命地中海,01,1.99
人再囧途之泰囧,01,5251.12
人再囧途之泰囧,01,4071.26
人再囧途之泰囧,01,2478.11
人再囧途之泰囧,01,1741.28
人再囧途之泰囧,01,1257.87
人再囧途之泰囧,01,1217.91
人再囧途之泰囧,01,860.37
人再囧途之泰囧,01,788.68
人再囧途之泰囧,01,646.55
人再囧途之泰囧,01,612.0
人再囧途之泰囧,01,732.45
人再囧途之泰囧,01,1186.06
人再囧途之泰囧,01,959.14
人在囧途,01,2.38
人在囧途,01,1.74
人在囧途,01,1.15
人在囧途,01,0.37
人在囧途,01,0.57
人在囧途,01,0.9
人在囧途,01,0.32
人在囧途,01,0.48
人在囧途,01,0.15
人在囧途,01,0.09
人在囧途,01,0.87
人在囧途,01,0.5
人在囧途,01,0.88
伞头和他的女人,01,0.48
伞头和他的女人,01,2.22
伞头和他的女人,01,1.59
伞头和他的女人,01,0.38
伞头和他的女人,01,0.41
伞头和他的女人,01,0.58
伞头和他的女人,01,0.17
伞头和他的女人,01,0.05
伞头和他的女人,01,0.06
伞头和他的女人,01,0.07
伞头和他的女人,01,0.04
伞头和他的女人,01,0.04
伞头和他的女人,01,0.03
伞头和他的女人,01,0.03
你的情歌我来唱,01,0.09
保安刘十八,01,0.06
保持通话,01,0.02
保持通话,01,0.02
保持通话,01,0.01
借你俩胆,01,0.04
借你俩胆,01,0.01
借你俩胆,01,0.17
借你俩胆,01,0.01
借你俩胆,01,0.01
倾城之泪,01,0.01
倾城之泪,01,0.02
倾城之泪,01,0.01
倾城之泪,01,0.02
倾城之泪,01,0.03
假装情侣,01,0.01
假装情侣,01,0.01
假装情侣,01,0.01
假装情侣,01,0.01
假装情侣,01,0.02
假装情侣,01,0.01
兄弟之生死同盟,01,0.02
兄弟之生死同盟,01,0.01
兄弟之生死同盟,01,0.02
全力扣杀,01,0.37
全城戒备,01,0.01
全城戒备,01,0.01
全城戒备,01,0.01
全城戒备,01,0.01
八星抱喜,01,0.1
八星抱喜,01,0.11
八星抱喜,01,0.1
八星抱喜,01,0.01
八星抱喜,01,0.0
八星抱喜,01,0.02
八星抱喜,01,0.0
八星抱喜,01,0.02
六福喜事,01,0.07
六福喜事,01,0.17
六福喜事,01,28.57
六福喜事,01,798.95
六福喜事,01,750.37
六福喜事,01,476.27
六福喜事,01,516.84
六福喜事,01,512.57
六福喜事,01,483.6
六福喜事,01,340.52
六福喜事,01,431.94
六福喜事,01,414.48
六福喜事,01,301.59
六福喜事,01,310.5
兰花香,01,0.14
兵临城下之决战要塞,01,0.01
冬,01,0.18
冰美人,01,0.75
冰美人,01,0.19
冰美人,01,0.62
冰美人,01,0.11
冰美人,01,0.38
冰美人,01,0.13
冰美人,01,0.01
决战刹马镇,01,0.1
决战刹马镇,01,0.01
决战刹马镇,01,0.1
凶间雪山,01,33.19
凶间雪山,01,25.55
凶间雪山,01,17.17
凶间雪山,01,22.13
凶间雪山,01,15.88
凶间雪山,01,15.13
凶间雪山,01,12.71
凶间雪山,01,5.83
凶间雪山,01,5.44
凶间雪山,01,5.69
凶间雪山,01,4.43
凶间雪山,01,5.31
凶间雪山,01,5.1
分手再说我爱你,01,64.43
分手再说我爱你,01,69.27
分手再说我爱你,01,45.75
分手再说我爱你,01,22.93
分手再说我爱你,01,21.82
初到东京,01,0.03
初到东京,01,0.03
初到东京,01,0.01
初到东京,01,0.02
初到东京,01,0.03
初到东京,01,0.08
初到东京,01,0.04
初到东京,01,0.05
初到东京,01,0.04
初到东京,01,0.01
初夏日记,01,0.16
初夏日记,01,0.02
初夏日记,01,0.05
初夏日记,01,0.0
初恋红豆冰,01,0.02
初恋红豆冰,01,0.01
初恋红豆冰,01,0.0
别拿自己不当干部,01,0.02
别拿自己不当干部,01,0.01
别拿自己不当干部,01,0.01
到阜阳六百里,01,0.08
到阜阳六百里,01,0.17
刺客,01,0.11
刺客,01,0.17
刺客,01,0.01
刺客,01,0.02
刺客,01,0.02
前任攻略,01,0.72
前任攻略,01,0.73
前任攻略,01,0.83
前任攻略,01,3.67
前任攻略,01,5.01
前任攻略,01,4.89
前任攻略,01,8.5
前任攻略,01,805.53
前任攻略,01,4.71
前任攻略,01,1.43
前任攻略,01,0.55
前任攻略,01,597.31
前目的地,01,232.15
前目的地,01,263.37
前目的地,01,208.34
前目的地,01,105.25
前目的地,01,110.77
前目的地,01,102.09
前目的地,01,65.71
前目的地,01,11.79
前目的地,01,24.58
前目的地,01,23.73
前目的地,01,13.85
前目的地,01,15.05
前目的地,01,14.38
前目的地,01,14.24
功夫,01,622.51
功夫,01,345.02
功夫,01,435.56
功夫,01,371.29
功夫,01,174.33
功夫,01,162.83
功夫,01,140.56
功夫,01,125.48
功夫,01,23.37
功夫,01,31.66
功夫,01,29.71
功夫,01,15.64
功夫,01,14.33
功夫,01,14.24
功夫之王,01,0.02
功夫咏春,01,0.03
功夫咏春,01,0.02
功夫咏春,01,0.03
功夫熊猫3,01,2.5
功夫熊猫3,01,4178.12
功夫熊猫3,01,1.12
功夫熊猫3,01,1.23
功夫熊猫3,01,140.53
功夫熊猫3,01,10572.58
功夫熊猫3,01,12536.02
功夫熊猫3,01,10267.37
勇士,01,0.12
勇士,01,0.3
勇士,01,0.36
勇士,01,0.53
北极,01,0.17
北极,01,0.24
北极,01,0.17
北极,01,0.02
北极,01,0.06
北极,01,0.07
北极,01,0.01
北极,01,0.02
北极,01,0.02
北极,01,0.1
北极,01,0.11
北极,01,0.01
北极,01,0.01
匹夫,01,0.01
匹夫,01,0.01
十万个冷笑话,01,2570.47
十万个冷笑话,01,2436.46
十万个冷笑话,01,1616.84
十万个冷笑话,01,541.45
十万个冷笑话,01,411.94
十万个冷笑话,01,398.52
十万个冷笑话,01,374.86
十万个冷笑话,01,187.45
十万个冷笑话,01,208.56
十万个冷笑话,01,470.54
十个约定,01,0.02
十二星座离奇事件,01,0.02
十二星座离奇事件,01,0.01
十二星座离奇事件,01,0.05
十二生肖,01,5871.89
十二生肖,01,4773.77
十二生肖,01,2994.69
十二生肖,01,2399.4
十二生肖,01,1668.73
十二生肖,01,1632.08
十二生肖,01,1195.23
十二生肖,01,1065.82
十二生肖,01,869.75
十二生肖,01,831.41
十二生肖,01,1070.51
十二生肖,01,1766.25
十二生肖,01,1461.09
十全九美,01,0.03
午夜凶梦,01,0.02
午夜凶梦,01,0.01
午夜凶梦,01,0.01
午夜出租车,01,0.01
午夜出租车,01,0.01
午夜出租车,01,0.01
午夜微博,01,0.02
南平红荔,01,0.12
南平红荔,01,0.12
南方大冰雪,01,0.01
南方大冰雪,01,0.07
南方大冰雪,01,0.04
南方大冰雪,01,0.33
南方大冰雪,01,0.01
南方大冰雪,01,0.02
南方大冰雪,01,0.2
南方大冰雪,01,0.02
南方大冰雪,01,1.38
南方大冰雪,01,0.44
博物馆奇妙夜3,01,2829.87
博物馆奇妙夜3,01,2015.69
博物馆奇妙夜3,01,1875.34
博物馆奇妙夜3,01,1721.72
博物馆奇妙夜3,01,1312.82
博物馆奇妙夜3,01,2237.41
博物馆奇妙夜3,01,4088.89
博物馆奇妙夜3,01,3224.18
博物馆奇妙夜3,01,890.81
博物馆奇妙夜3,01,925.64
博物馆奇妙夜3,01,876.79
危城之恋,01,0.01
危情营救,01,0.08
危情营救,01,30.34
危情营救,01,25.86
危情营救,01,15.68
危情营救,01,4.12
危情营救,01,3.54
危情营救,01,2.88
危情营救,01,3.1
危情营救,01,3.83
危情营救,01,3.74
危情营救,01,0.99
危情营救,01,1.66
危情营救,01,1.04
危情营救,01,0.71
危险关系,01,0.03
危险关系,01,0.03
危险关系,01,0.03
危险关系,01,0.02
又见梅兰芳,01,0.02
又见梅兰芳,01,0.01
又见梅兰芳,01,0.01
变节-潜罪犯,01,0.01
变节-潜罪犯,01,0.01
变节-潜罪犯,01,0.03
古城会,01,0.06
古城会,01,0.05
古城会,01,0.04
古城会,01,0.04
古城会,01,0.15
古城会,01,0.02
古城会,01,0.02
古城会,01,0.02
古城会,01,0.04
古城会,01,0.05
史前怪兽,01,846.6
史前怪兽,01,354.95
史前怪兽,01,228.12
史前怪兽,01,331.98
史前怪兽,01,254.97
史前怪兽,01,132.52
史前怪兽,01,80.37
史前怪兽,01,74.42
史前怪兽,01,73.66
史前怪兽,01,26.97
史前怪兽,01,27.53
史前怪兽,01,21.73
叶问,01,0.62
叶问,01,0.66
叶问,01,0.54
叶问,01,0.67
叶问,01,0.31
叶问,01,0.62
叶问,01,0.24
叶问,01,0.39
叶问,01,0.25
叶问,01,0.39
叶问,01,0.29
叶问,01,0.41
叶问,01,0.32
叶问2 宗师传奇,01,0.01
叶问2 宗师传奇,01,0.03
叶问2 宗师传奇,01,0.0
叶问2 宗师传奇,01,0.01
向阳花开,01,0.58
向阳花开,01,0.22
向阳花开,01,0.2
向阳花开,01,0.08
向阳花开,01,0.04
向阳花开,01,0.07
向阳花开,01,0.11
向阳花开,01,0.03
向阳花开,01,0.14
向阳花开,01,0.13
向阳花开,01,0.05
向阳花开,01,0.07
向阳花开,01,0.03
