movieName,theme
双雄,动作
双雄,犯罪
双雄,冒险
功夫,动作
功夫,喜剧
功夫,犯罪
龙凤呈祥,剧情
龙凤呈祥,戏曲
栀子花开,爱情
栀子花开,青春
蹴鞠,剧情
蹴鞠,运动
在一起,爱情
我的少女时代,爱情
我的少女时代,喜剧
致命怪谈,惊悚
致命怪谈,悬疑
非常绑匪,喜剧
乐队,歌舞
四大名捕,动作
四大名捕,悬疑
四大名捕,古装
十二星座离奇事件,惊悚
十二星座离奇事件,悬疑
听风者,剧情
听风者,悬疑
河东狮吼2,爱情
河东狮吼2,动作
河东狮吼2,喜剧
河东狮吼2,古装
邋遢大王奇遇记,动画
危城之恋,爱情
都市童话,剧情
蝙蝠侠：黑暗骑士崛起,动作
蝙蝠侠：黑暗骑士崛起,犯罪
蝙蝠侠：黑暗骑士崛起,剧情
蝙蝠侠：黑暗骑士崛起,惊秫
敢死队2,动作
敢死队2,惊悚
敢死队2,冒险
雨中的树,纪实
雨中的树,传记
孝女彩金,剧情
火海逃生,剧情
指尖太阳,动画
指尖太阳,儿童
铜雀台,动作
铜雀台,历史
危险关系,爱情
危险关系,悬疑
二次曝光,爱情
二次曝光,悬疑
吴仁宝,纪实
吴仁宝,传记
美男记,爱情
岁月无声,剧情
浮城谜事,爱情
浮城谜事,悬疑
诡爱,惊悚
诡爱,悬疑
冰雪11天,灾难
冰雪11天,抢险
南平红荔,剧情
缘来是咱俩,喜剧
缘来是咱俩,爱情
寒战,动作
寒战,警匪
天生爱情狂,爱情
天生爱情狂,喜剧
好好过,喜剧
万箭穿心,爱情
借你俩胆,喜剧
借你俩胆,惊悚
2012 3D,灾难
2012 3D,动作
2012 3D,惊悚
保安刘十八,剧情
少年派的奇幻漂流,灾难
少年派的奇幻漂流,剧情
少年派的奇幻漂流,冒险
无间罪：僵尸重生,惊悚
无间罪：僵尸重生,恐怖
一九四二,战争
一九四二,灾难
一九四二,历史
王的盛宴,动作
王的盛宴,历史
王的盛宴,古装
有这样一个医生,剧情
咱们是亲人,剧情
铁线虫入侵,惊悚
铁线虫入侵,灾难
我老公不靠谱,喜剧
小鱼吃大鱼,爱情
笑过2012,灾难
人再囧途之泰囧,喜剧
人再囧途之泰囧,公路
异度迷局,惊悚
异度迷局,悬疑
十二生肖,动作
十二生肖,冒险
十二生肖,喜剧
血滴子,动作
血滴子,武侠
大上海,动作
凶间雪山,惊悚
凶间雪山,冒险
桃枝的桃,爱情
地下室惊魂,惊悚
地下室惊魂,悬疑
地下室惊魂,恐怖
秘密花园,爱情
爱你一生一世,爱情
给你一千万,喜剧
南方大冰雪,剧情
金箍棒传奇,动画
我的狗狗我的爱,剧情
重返大海,动画
玩命时光,动作
玩命时光,喜剧
玩命时光,魔幻
玩命时光,爱情
犀利人妻,爱情
犀利人妻,剧情
201314,爱情
浩昊文字国历险记之智斗谜语城,动画
一代宗师,动作
一代宗师,传记
宝米恰恰,爱情
宝米恰恰,喜剧
暗恋99天,爱情
大叔，我爱你,爱情
大叔，我爱你,喜剧
危情营救,动作
危情营救,犯罪
快乐到家,喜剧
快乐到家,贺岁
喜剧王,喜剧
夺宝联盟,动作
夺宝联盟,犯罪
越位者,动作
越位者,犯罪
都是手机惹的祸,喜剧
绿林大冒险,动画
007：大破天幕杀机,动作
007：大破天幕杀机,冒险
007：大破天幕杀机,惊悚
喜羊羊与灰太狼之喜气羊羊过蛇年,动画
波鲁鲁冰雪大冒险,动画
小小飞虎队,动作
小小飞虎队,儿童
小小飞虎队,喜剧
夺命追踪,惊悚
夺命追踪,悬疑
孤岛惊魂2,惊悚
孤岛惊魂2,悬疑
愤怒的小孩,喜剧
云图,科幻
云图,惊悚
云图,悬疑
洛克王国2圣龙的心愿,动画
巴啦啦小魔仙,魔幻
巴啦啦小魔仙,冒险
巴啦啦小魔仙,儿童
百星酒店,喜剧
女蛹,惊悚
女蛹,悬疑
女蛹,爱情
梦幻飞琴,动画
全城高考,喜剧
全城高考,爱情
全城高考,青春
西游降魔篇,魔幻
西游降魔篇,喜剧
西游降魔篇,冒险
越来越好之村晚,喜剧
越来越好之村晚,贺岁
爱情不NG,喜剧
爱情不NG,爱情
101次求婚,爱情
我的老婆是只猫,动画
侠探杰克,动作
侠探杰克,犯罪
电梯惊魂,惊悚
电梯惊魂,惊秫
阿嬷的梦中情人,爱情
阿嬷的梦中情人,喜剧
霍比特人1：意外旅程,奇幻
霍比特人1：意外旅程,冒险
杨光的快乐生活,喜剧
有人赞美聪慧，有人则不,儿童
有人赞美聪慧，有人则不,动画
悲惨世界,爱情
悲惨世界,歌舞
午夜微博,惊悚
三月情流感,爱情
三月情流感,喜剧
南泥湾,战争
南泥湾,历史
南泥湾,主旋律
劫案迷云,动作
劫案迷云,惊悚
特警判官,动作
特警判官,科幻
让爱绽放,爱情
青春雷锋,纪实
青春雷锋,传记
雷锋在1959,纪实
雷锋的微笑,纪实
笑功震武林,喜剧
笑功震武林,动作
爱神,爱情
午夜火车,惊悚
萧红,爱情
暴走吧，女人,爱情
暴走吧，女人,冒险
暴走吧，女人,励志
不要迷恋姐,喜剧
不要迷恋姐,爱情
铁娘子：坚固柔情,纪录片
铁娘子：坚固柔情,传记
爱情银行,爱情
骇战,科幻
骇战,爱情
骇战,悬疑
虎胆龙威5,动作
生化危机5：惩罚,动作
生化危机5：惩罚,惊悚
生化危机5：惩罚,科幻
北京遇上西雅图,爱情
北京遇上西雅图,喜剧
叶问：终极一战,动作
叶问：终极一战,传记
止杀令,动作
止杀令,战争
止杀令,历史
刘老庄八十二壮士,战争
巨人捕手杰克,科幻
巨人捕手杰克,冒险
楼,惊悚
楼,悬疑
