theme,movieName
[],爱情斑马线
[],红鹰突击队之狙击
[],水墨大别山
[],平凡的足球
[],我和我们
[],禁锢
[],爱无界
[],光荣使命
[],清明
[],初一
[],美好人生
主旋律,为了这片土地
主旋律,西藏天空
主旋律,南泥湾
主旋律,古田会议
主旋律,天上的菊美
主旋律,党的女儿尹灵芝
主旋律,黄河
主旋律,大火种
主旋律,乳娘情
亲情,幸福梦想
亲情,妈妈让我再爱你一次
亲情,爸爸的木房子
亲情,团圆
亲情,重返20岁
亲情,商魂
亲情,哑孩儿
亲情,幸福很囧
亲情,爸爸去哪儿
亲情,老炮儿
亲情,好人常慧珍
亲情,星际穿越
亲情,妈咪侠
亲情,幸运是我
亲情,硬汉奶爸
亲情,石斛兰
亲情,重返地球
亲情,娘家人
传记,曼德拉
传记,吴仁宝
传记,极速风流
传记,云中行走
传记,模仿游戏
传记,一代宗师
传记,铁娘子：坚固柔情
传记,乔布斯
传记,地心营救
传记,顾景舟
传记,邓小平登黄山
传记,盟军夺宝队
传记,门巴将军
传记,叶问3
传记,毛丰美
传记,飞鹰艾迪
传记,正骨
传记,大地赤子史来贺
传记,周恩来的四个昼夜
传记,黄金时代
传记,启功
传记,天上的菊美
传记,毛泽东与齐白石
传记,青春雷锋
传记,一代宗师3D
传记,唐家山之恋
传记,雨中的树
传记,归来
传记,叶问：终极一战
侦探,名侦探柯南2015：业火的向日葵
儿童,巴啦啦小魔仙之魔箭公主
儿童,爸爸我来救你了
儿童,风铃上的卡片
儿童,少年毛泽东
儿童,从哪来，到哪去
儿童,奥拉星：进击圣殿
儿童,闯堂兔2疯狂马戏团
儿童,洛克王国4：出发！巨人谷
儿童,我爸比我小四岁
儿童,无敌小飞猪
儿童,太阳脸
儿童,龙骑侠
儿童,小小飞虎队
儿童,莫日根
儿童,阳光留守
儿童,巴啦啦小魔仙
儿童,有人赞美聪慧，有人则不
儿童,爸爸去哪儿2
儿童,刺猬小子之天生我刺
儿童,有一天
儿童,森林孤影
儿童,巴啦啦小魔仙之魔法的考验
儿童,动植物大战
儿童,木偶传奇
儿童,新大头儿子和小头爸爸2一日成才
儿童,猪猪侠之终极决战
儿童,西游新传2：真心话大冒险
儿童,情笛之爱
儿童,小神来了
儿童,飞跃地心
儿童,鹰笛·雪莲
儿童,指尖太阳
儿童,少年师爷之大禹宝藏
儿童,三只小猪与神灯
儿童,赛尔号5：雷神崛起
公路,等风来
公路,回乡逗儿
公路,后会无期
公路,心花路放
公路,人再囧途之泰囧
公路,意外的恋爱时光
公路,无人区
冒险,侏罗纪公园3D
冒险,小羊肖恩
冒险,钢铁侠3
冒险,被解救的姜戈
冒险,王牌特工：特工学院
冒险,极盗者
冒险,澳门风云3
冒险,小猪班纳大电影之梦想大“帽”险
冒险,海绵宝宝
冒险,复仇者联盟2：奥创纪元
冒险,道士下山
冒险,火影忍者剧场版：博人传
冒险,遗落战境
冒险,一个勺子
冒险,兔侠之青黎传说
冒险,藏羚王之雪域精灵
冒险,霍比特人1：意外旅程
冒险,昆塔：盒子总动员
冒险,疯狂动物城
冒险,007：幽灵党
冒险,小飞侠：幻梦启航
冒险,西游新传2：真心话大冒险
冒险,太极侠
冒险,木星上行
冒险,饥饿游戏3：嘲笑鸟（下）
冒险,灰姑娘
冒险,青蛙王国之冰冻大冒险
冒险,火星救援
冒险,卧虎藏龙：青冥宝剑
冒险,暴走吧，女人
冒险,逃出生天3D
冒险,分歧者2：绝地反击
冒险,奥拉星：进击圣殿
冒险,特功明星
冒险,巨人捕手杰克
冒险,特种部队：全面反击
冒险,爸爸我来救你了
冒险,疯狂外星人
冒险,致命闪玩
冒险,少年毛泽东
冒险,明日世界
冒险,阿里巴巴大盗奇兵
冒险,魔境仙踪
冒险,熊出没之熊心归来
冒险,赛尔号5：雷神崛起
冒险,探秘者
冒险,最后的巫师猎人
冒险,兔子镇的火狐狸
冒险,速度与激情6
冒险,冰美人
冒险,魔比斯环3D
冒险,绝命海拔
冒险,帝国秘符
冒险,星际迷航：暗黑无界
冒险,云中行走
冒险,蒸发太平洋
冒险,功夫熊猫3
冒险,星球大战：原力觉醒
冒险,咕噜咕噜美人鱼
冒险,鼠来宝4：萌在囧途
冒险,侏罗纪世界
冒险,末日崩塌
冒险,落经山
冒险,寻龙诀
冒险,绝地逃亡
冒险,史努比：花生大电影
冒险,万万没想到
冒险,金箍棒传奇2
冒险,刺猬小子之天生我刺
冒险,潜艇总动员之时光宝盒
冒险,环太平洋
冒险,果宝特攻之水果大逃亡
冒险,非常幸运
冒险,魔镜奇缘
冒险,博物馆奇妙夜3
冒险,饥饿游戏2:星火燎原
冒险,庞贝末日
冒险,白雪公主之矮人力量
冒险,超人：钢铁之躯
冒险,少年派的奇幻漂流
冒险,神通佛影
冒险,我是大熊猫之熊猫大侠
冒险,星际迷航3：超越星辰
冒险,敢死队3
冒险,忍者神龟2：破影而出
冒险,独立日：卷土重来
冒险,分歧者：异类觉醒
冒险,九层妖塔
冒险,狂野飞车
冒险,泰迪熊之玩具大战
冒险,神秘世界历险记3
冒险,魔兽
冒险,十二生肖
冒险,狼图腾
冒险,银河护卫队
冒险,X战警：天启
冒险,冰川时代：融冰之灾
冒险,凶间雪山
冒险,小蚂蚁之环球大冒险
冒险,泰山归来：险战丛林
冒险,神秘世界历险记2
冒险,鹰笛·雪莲
冒险,霍比特人：史矛革之战
冒险,双雄
冒险,英雄之战
冒险,美国队长2：冬日战士
冒险,碟中谍5：神秘国度
冒险,巴啦啦小魔仙之魔法的考验
冒险,大力神3D
冒险,犹太女孩在上海2：项链密码
冒险,超凡蜘蛛侠2
冒险,心跳戈壁
冒险,X战警：逆转未来
冒险,圣杯神器：骸骨之城
冒险,分歧者3：忠诚世界
冒险,白雪公主和三只小猪
冒险,哆啦A梦：新·大雄的日本诞生
冒险,敢死队2
冒险,史前怪兽
冒险,沉睡魔咒
冒险,变形金刚4：绝迹重生
冒险,海神密码
冒险,王子与108煞
冒险,精灵王座
冒险,赛尔号4大电影：圣魔之战
冒险,重返地球
冒险,海底总动员2：寻找多莉
冒险,终结者：创世纪
冒险,巴啦啦小魔仙之魔箭公主
冒险,汽车人总动员
冒险,极地大反攻
冒险,闯堂兔2疯狂马戏团
冒险,龙骑侠
冒险,天眼传奇
冒险,致命黑兰
冒险,奇幻森林
冒险,第七子：降魔之战
冒险,莫日根
冒险,太空熊猫英雄归来
冒险,巴啦啦小魔仙
冒险,美人鱼之海盗来袭
冒险,007：大破天幕杀机
冒险,霍比特人：五军之战
冒险,蝙蝠侠大战超人：正义黎明
冒险,独行侠
冒险,宝贝，对不起
冒险,荒野猎人
冒险,摩尔庄园3：魔幻列车大冒险
冒险,西游降魔篇
冒险,洛杉矶捣蛋计划
冒险,神战：权力之眼
冒险,盗剑72小时
冒险,饥饿游戏3：嘲笑鸟（上）
冒险,熊出没之雪岭熊风
冒险,蚁人
冒险,猎神：冬日之战
冒险,秘术
冒险,天机·富春山居图
冒险,大话西游之大圣娶亲
冒险,宙斯之子：赫拉克勒斯
冒险,忍者神龟：变种时代
冒险,白雪公主之神秘爸爸
冒险,美国队长3：英雄内战
冒险,佩小姐的奇幻城堡
冒险,密道追踪之阴兵虎符
冒险,阿里巴巴2所罗门封印
冒险,头脑特工队
冒险,铁血娇娃
冒险,爱丽丝梦游仙境2：镜中奇遇记
冒险,智取威虎山3D
冒险,青蛙总动员
冒险,星际穿越
冒险,光辉岁月
冒险,抢劫坚果店
冒险,糖果世界大冒险
冒险,大话西游之月光宝盒
农村,石榴树上结樱桃
农村,为了这片土地
农村,民工·老大·老板
农村,恋爱兄弟
农村,一诺·千金
农村,七彩田野
剧情,拐杖
剧情,角逐
剧情,鹰笛·雪莲
剧情,山村母亲（戏曲）
剧情,守梦者
剧情,盗非盗
剧情,最美的承诺
剧情,少女哪吒
剧情,无脚鸟
剧情,相伴库里申科
剧情,模仿游戏
剧情,公证人之大卫之死
剧情,民工·老大·老板
剧情,七品知县进道观（豫剧）
剧情,烈日灼心
剧情,山娃
剧情,三个孬家伙
剧情,一诺·千金
剧情,大丑
剧情,乳娘情
剧情,奇迹宝宝
剧情,圣哲老子
剧情,有一天
剧情,亲爱的
剧情,王化买父
剧情,走出迷林
剧情,奈河
剧情,蓝色骨头
剧情,打工老板
剧情,爱·回家
剧情,凤凰台
剧情,家亦有道
剧情,破五
剧情,天河
剧情,深情约定
剧情,生死船票
剧情,再见巨人
剧情,七彩田野
剧情,霍比特人：史矛革之战
剧情,守望女
剧情,顾家姆妈
剧情,西藏天空
剧情,心曲
剧情,冬
剧情,侨女日记
剧情,笨贼快跑
剧情,一号目标
剧情,鄂尔多斯骑士
剧情,星星的梦
剧情,海神密码
剧情,美国骗局
剧情,破局
剧情,毛驴县令之酸儿辣女
剧情,京城81号
剧情,腊月的春
剧情,平凡之路
剧情,黄克功案件
剧情,塞外长风
剧情,永远的守望
剧情,十二公民
剧情,情满人间
剧情,哺乳期的女人
剧情,木偶传奇
剧情,伴我同行
剧情,天边的孩子
剧情,踏雪寻梅
剧情,白蛇传（戏曲）
剧情,无法证明
剧情,铁马飞扬
剧情,保山
剧情,老师也疯狂
剧情,我的23岁
剧情,为了这片土地
剧情,守信少年
剧情,因为谷桂花
剧情,我要上学
剧情,闯入者
剧情,爸爸的晚餐
剧情,面孔
剧情,天生有福
剧情,桔子的天空
剧情,美丽乡愁
剧情,老人，孩子和外国人
剧情,宝贝，对不起
剧情,河
剧情,状元媒
剧情,狼图腾
剧情,扑通扑通我的人生
剧情,山间传来牛铃声
剧情,失孤
剧情,见习警员白忆男之初来乍到
剧情,抱养奇缘
剧情,爸爸妈妈复婚记
剧情,枪过境
剧情,母亲的梦想
剧情,天使：生命处方
剧情,80后的独立宣言
剧情,我很帅
剧情,火海逃生
剧情,大火种
剧情,血证一九二八
剧情,国酒
剧情,赏金猎人
剧情,百鸟朝凤
剧情,雏鸟的天空
剧情,超脑48小时
剧情,鲨滩
剧情,古田会议
剧情,岁月无声
剧情,冬
剧情,请把你的窗户打开
剧情,喊·山
剧情,云中行走
剧情,孝女彩金
剧情,神探夏洛克
剧情,探秘者
剧情,刻在石磨上的勋章
剧情,一棵心中的许愿树
剧情,爸爸的木房子
剧情,布基兰
剧情,缘份
剧情,麻辣白玉堂之致命棋局
剧情,十月阳春
剧情,封神传奇
剧情,老警
剧情,都市童话
剧情,根据地
剧情,守卫者
剧情,老炮儿
剧情,路边野餐
剧情,胜利大阅兵
剧情,再生之乐
剧情,蝙蝠侠：黑暗骑士崛起
剧情,返乡
剧情,大唐玄奘
剧情,南平红荔
剧情,小小校长
剧情,垫底辣妹
剧情,保安刘十八
剧情,少年派的奇幻漂流
剧情,山那边有匹马
剧情,自我救赎
剧情,地心营救
剧情,哑孩儿
剧情,当我们年轻的时候
剧情,哪一天我们会飞
剧情,箭士柳白猿
剧情,轩辕大帝
剧情,灯塔下的恋人
剧情,决不饶恕
剧情,咱们是亲人
剧情,荒野猎人
剧情,寻找心中的你
剧情,监禁风暴
剧情,幸运是我
剧情,708090之深圳恋歌
剧情,奇幻森林
剧情,大山的女儿
剧情,红色警戒999
剧情,党的女儿尹灵芝
剧情,我的1000万
剧情,猎神：冬日之战
剧情,那岁月—刻骨铭心
剧情,逆境王牌
剧情,水滴之梦
剧情,张震讲故事之合租屋
剧情,请柬
剧情,神秘的未知世界
剧情,山花烂漫时
剧情,提款机
剧情,马达加斯加：狐猴之岛
剧情,触发
剧情,严冬里的春天
剧情,不朽的时光
剧情,听风者
剧情,母亲的飞机场
剧情,老阿姨
剧情,妈妈让我再爱你一次
剧情,喜马拉雅天梯
剧情,心迷宫
剧情,勿忘初心
剧情,龙凤呈祥
剧情,夺命推理
剧情,Hi，高考君
剧情,魔宫魅影
剧情,奇葩追梦
剧情,蹴鞠
剧情,顾景舟
剧情,毛丰美
剧情,夜孔雀
剧情,少年林祥谦
剧情,孕城
剧情,家在水草丰茂的地方
剧情,告诉他们，我乘白鹤去了
剧情,我是证人
剧情,丢羊
剧情,谍战锦屏山
剧情,赤狼蚁
剧情,启功
剧情,娘家人
剧情,换个活法
剧情,莫斯科离大同不远
剧情,情花谷
剧情,惊天大逆转
剧情,分裂1：906号患者档案
剧情,我的狗狗我的爱
剧情,妮莎罕
剧情,犀利人妻
剧情,将离草
剧情,斗艳
剧情,男左女右
剧情,遥远的拥抱
剧情,整形师·脸
剧情,少年圆瑛
剧情,山河故人
剧情,乡间童谣
剧情,绝命海拔
剧情,风铃上的卡片
剧情,世界屋脊的歌声
剧情,我的处女地
剧情,呼吸正常
剧情,水晶女孩
剧情,我心雀跃
剧情,回到原点
剧情,记忆望着我
剧情,乌珠穆沁的孩子
剧情,火云端
剧情,判我有罪
剧情,爱在星空下
剧情,打开天窗说亮话
剧情,白石山下一家人
剧情,余之香
剧情,天使请吻我
剧情,天降
剧情,喋血神兵
剧情,南方大冰雪
剧情,有这样一个医生
剧情,再见，在也不见
剧情,梦行者
剧情,人生不能重来
剧情,不是钱的事
剧情,桑榆街9号
剧情,大地赤子史来贺
剧情,日本战犯忏悔备忘录
剧情,瓯柑之恋
剧情,糯米的苹果
剧情,花样厨神
剧情,追梦英雄
剧情,二十二
功夫,黄飞鸿之英雄有梦
功夫,一个人的武林
动作,绝密跟踪
动作,痞子英雄：黎明升起
动作,X战警：天启
动作,闯入迷宅
动作,赏金猎人
动作,独立日：卷土重来
动作,惊天魔盗团2
动作,宙斯之子：赫拉克勒斯
动作,大话西游之月光宝盒
动作,不惧风暴
动作,分歧者3：忠诚世界
动作,魔兽
动作,大话西游之大圣娶亲
动作,空中营救
动作,冰川时代：融冰之灾
动作,银河护卫队
动作,碟中谍5：神秘国度
动作,挑战者联盟
动作,狼兵吼
动作,一号目标
动作,城市游戏
动作,蜂鸟特攻
动作,超凡蜘蛛侠2
动作,冰封：重生之门
动作,超验骇客
动作,国宝疑云
动作,魔警
动作,功夫世家
动作,X战警：逆转未来
动作,大力神3D
动作,美国队长2：冬日战士
动作,盟军夺宝队
动作,英雄之战
动作,家园防线
动作,极品飞车
动作,别惹我
动作,甜蜜杀机
动作,机械战警
动作,夺樽
动作,霍比特人：史矛革之战
动作,特工艾米拉
动作,分歧者：异类觉醒
动作,窃听风云3
动作,哥斯拉
动作,忍者神龟2：破影而出
动作,星际迷航3：超越星辰
动作,谍影重重5
动作,敢死队3
动作,猩球崛起：黎明之战
动作,钢刀
动作,神通佛影
动作,四大名捕大结局
动作,反贪风暴
动作,庞贝末日
动作,明日边缘
动作,永春白鹤拳之擎天画卷
动作,使徒行者
动作,绣春刀
动作,白发魔女传之明月天国
动作,危城
动作,红色警戒999
动作,龙拳小子
动作,海神密码
动作,终极硬汉
动作,变形金刚4：绝迹重生
动作,沉睡魔咒
动作,泰山归来：险战丛林
动作,狙击时刻
