name,theme,boxtotal,releaseTime
双雄,动作/犯罪/冒险,566.8,2013/12/6
功夫,动作/喜剧/犯罪,2559.5,2015/1/15
龙凤呈祥,剧情/戏曲,11.8,2014/1/29
栀子花开,爱情/青春,37900.2,2015/7/10
蹴鞠,剧情/运动,,2016/7/29
在一起,爱情,3228.3,2013/2/12
我的少女时代,爱情/喜剧,35939.6,2015/11/19
致命怪谈,惊悚/悬疑,,2016/2/19
非常绑匪,喜剧,192.5,2012/6/29
乐队,歌舞,5.8,2012/7/4
四大名捕,动作/悬疑/古装,19506.7,2012/7/12
十二星座离奇事件,惊悚/悬疑,2004.6,2012/7/13
听风者,剧情/悬疑,23219.4,2012/8/7
河东狮吼2,爱情/动作/喜剧/古装,7091.8,2012/8/17
邋遢大王奇遇记,动画,415.1,2012/8/17
危城之恋,爱情,1.8,2012/8/18
都市童话,剧情,8.5,2012/8/24
蝙蝠侠：黑暗骑士崛起,动作/犯罪/剧情/惊秫,33879,2012/8/27
敢死队2,动作/惊悚/冒险,33214.9,2012/9/4
雨中的树,纪实/传记,2391.7,2012/9/19
孝女彩金,剧情,330.1,2012/9/20
火海逃生,剧情,44.3,2012/9/21
指尖太阳,动画/儿童,13.7,2012/9/25
铜雀台,动作/历史,10606.6,2012/9/26
危险关系,爱情/悬疑,6271.2,2012/9/27
二次曝光,爱情/悬疑,10738.7,2012/9/29
吴仁宝,纪实/传记,1112.5,2012/10/12
美男记,爱情,88.9,2012/10/12
岁月无声,剧情,35.5,2012/10/12
浮城谜事,爱情/悬疑,554.4,2012/10/19
诡爱,惊悚/悬疑,1203.4,2012/10/30
冰雪11天,灾难/抢险,958.9,2012/11/1
南平红荔,剧情,82,2012/11/6
缘来是咱俩,喜剧/爱情,28.8,2012/11/8
寒战,动作/警匪,25303.8,2012/11/8
天生爱情狂,爱情/喜剧,1139.1,2012/11/9
好好过,喜剧,94.6,2012/11/12
万箭穿心,爱情,265,2012/11/16
借你俩胆,喜剧/惊悚,188.2,2012/11/16
2012 3D,灾难/动作/惊悚,,2012/11/20
保安刘十八,剧情,26.1,2012/11/21
少年派的奇幻漂流,灾难/剧情/冒险,57290,2012/11/22
无间罪：僵尸重生,惊悚/恐怖,584.4,2012/11/23
一九四二,战争/灾难/历史,37113.6,2012/11/29
王的盛宴,动作/历史/古装,7699.8,2012/11/29
有这样一个医生,剧情,17.6,2012/11/30
咱们是亲人,剧情,139.6,2012/12/4
铁线虫入侵,惊悚/灾难,743.7,2012/12/6
我老公不靠谱,喜剧,2596.1,2012/12/7
小鱼吃大鱼,爱情,105.1,2012/12/7
笑过2012,灾难,80.8,2012/12/7
人再囧途之泰囧,喜剧/公路,126800.1,2012/12/12
异度迷局,惊悚/悬疑,294.4,2012/12/14
十二生肖,动作/冒险/喜剧,88113.4,2012/12/20
血滴子,动作/武侠,7183.4,2012/12/20
大上海,动作,14963.5,2012/12/21
凶间雪山,惊悚/冒险,754.8,2012/12/21
桃枝的桃,爱情,10.6,2012/12/23
地下室惊魂,惊悚/悬疑/恐怖,701,2012/12/28
秘密花园,爱情,544.2,2012/12/28
爱你一生一世,爱情,63.3,2012/12/28
给你一千万,喜剧,40.2,2012/12/28
南方大冰雪,剧情,32.3,2012/12/28
金箍棒传奇,动画,1097.4,2012/12/29
我的狗狗我的爱,剧情,36.5,2012/12/29
重返大海,动画,385.7,2012/12/30
玩命时光,动作/喜剧/魔幻/爱情,255,2012/12/31
犀利人妻,爱情/剧情,286.6,2012/12/31
201314,爱情,1325.2,2013/1/1
浩昊文字国历险记之智斗谜语城,动画,39.6,2013/1/7
一代宗师,动作/传记,28924.1,2013/1/8
宝米恰恰,爱情/喜剧,44.4,2013/1/10
暗恋99天,爱情,703.5,2013/1/11
大叔，我爱你,爱情/喜剧,476.1,2013/1/11
危情营救,动作/犯罪,102.2,2013/1/12
