mediaName,relName,relationType
蹴鞠,何炅,主演
蹴鞠,桑伟淋,主演
蹴鞠,丹东凤城乾艺影视有限公司,制作
蹴鞠,北京中视远图影视传媒有限公司,制作
蹴鞠,刘镇纬,导演
蹴鞠,北京猎海影视有限公司,发行
蹴鞠,淄博三禾宇宙星影视文化传媒有限公司,制作
蹴鞠,时光行者北京国际文化传媒有限公司,制作
蹴鞠,中国电影集团公司,发行
蹴鞠,孙传信,主演
蹴鞠,马子淇,主演
蹴鞠,王勇迪,主演
蹴鞠,邓丽欣,主演
蹴鞠,王瑾,主演
蹴鞠,孟卫国,导演
在一起,国家新闻出版广电总局电影卫星频道节目制作中心,制作
在一起,杨颖,主演
在一起,周秀娜,主演
在一起,骄阳电影有限公司,制作
在一起,北京华录百纳影视股份有限公司,制作
在一起,阿里巴巴影业集团有限公司,制作
在一起,欢乐电影（上海）有限公司,制作
在一起,北京乐韬世纪文化传媒有限公司,制作
在一起,星焕蓝海制作有限公司,制作
在一起,北京世纪伙伴文化传媒,制作
在一起,陈妍希,主演
在一起,甄子丹,主演
在一起,陈苗,主演
在一起,柯震东,主演
在一起,霍耀良,导演
在一起,黄宗泽,主演
我的少女时代,华夏电影发行有限责任公司,发行
我的少女时代,映艺娱乐有限公司,制作
我的少女时代,华联国际,制作
我的少女时代,华策影业（天津）有限公司,制作
我的少女时代,玉春雷娱乐文创股份有限公司,制作
我的少女时代,陈玉珊,导演
我的少女时代,简廷芮,主演
我的少女时代,刘德华,主演
我的少女时代,陈乔恩,主演
我的少女时代,言承旭,主演
我的少女时代,王大陆,主演
我的少女时代,宋芸桦,主演
我的少女时代,李玉玺,主演
失控,华夏电影发行有限责任公司,发行
失控,石凉,主演
失控,胡明,主演
失控,江阴市天普文化传播有限公司,制作
失控,北京大音远扬文化传播有限公司,制作
失控,丁小明,导演
失控,谭卓,主演
失控,段博文,主演
失控,连晋,主演
纳尼亚传奇3,Warner Bros. ,发行
纳尼亚传奇3,Twentieth Century Fox Home Entertainment ,发行
纳尼亚传奇3,FS Film Oy ,发行
纳尼亚传奇3,20th Century Fox ,发行
纳尼亚传奇3,20th Century Fox Netherlands ,发行
纳尼亚传奇3,华夏电影发行有限责任公司,发行
纳尼亚传奇3,Odeon ,发行
纳尼亚传奇3,Twentieth Century Fox C.I.S. ,发行
纳尼亚传奇3,Castello Lopes Multimédia ,发行
纳尼亚传奇3,Forumcinemas ,发行
纳尼亚传奇3,Walt Disney ,发行
纳尼亚传奇3,Fox-Walden ,发行
纳尼亚传奇3,西蒙·佩吉,主演
纳尼亚传奇3,蒂尔达·斯文顿,主演
纳尼亚传奇3,本·巴恩斯,主演
纳尼亚传奇3,威廉·莫斯里,主演
纳尼亚传奇3,彼特·丁拉基,主演
纳尼亚传奇3,连姆·尼森,主演
纳尼亚传奇3,内森奈尔·帕克,主演
纳尼亚传奇3,迈克尔·艾普特,导演
纳尼亚传奇3,艾迪·伊扎德,主演
社区民警故事,北京紫禁城三联影视发行有限公司,发行
社区民警故事,王蕙,主演
社区民警故事,北京酷阵国际文化传媒有限公司,制作
社区民警故事,陈励,主演
社区民警故事,杨地,主演
社区民警故事,金粮,主演
社区民警故事,王辉,主演
社区民警故事,马景龙,主演
社区民警故事,孟秀,主演
社区民警故事,张晓春,导演
社区民警故事,于又川,主演
创战纪,华特·迪斯尼影片公司,制作
创战纪,华特·迪斯尼影片公司,发行
创战纪,FX Networks ,发行
创战纪,Walt Disney Studios Home Entertainment ,发行
创战纪,Walt Disney Studios Motion Pictures ,发行
创战纪,Zon Lusomundo Audiovisuais ,发行
创战纪,Feelgood Entertainment ,发行
创战纪,Forum Hungary ,发行
创战纪,伊丽莎白·马瑟斯,主演
创战纪,杰夫·布里吉斯,主演
创战纪,布鲁斯·鲍克斯雷特纳,主演
创战纪,希里安·墨菲,主演
创战纪,赛琳达·斯万,主演
创战纪,卡尔·厄本,主演
创战纪,迈克尔·泰根,主演
创战纪,迈克尔·辛,主演
创战纪,加内特·赫德兰,主演
创战纪,约翰·赫特,主演
创战纪,约瑟夫·科金斯基,导演
创战纪,碧儿·加勒特,主演
创战纪,奥利维亚·王尔德,主演
创战纪,詹姆斯·弗莱恩,主演
创战纪,帕特里克·萨邦圭,主演
新少林寺,范冰冰,主演
新少林寺,吴京,主演
新少林寺,熊欣欣,主演
新少林寺,华谊兄弟传媒股份有限公司,制作
新少林寺,华谊兄弟传媒股份有限公司,发行
新少林寺,英皇电影有限公司,制作
新少林寺,白冰,主演
新少林寺,北京银梦影视艺术有限公司,制作
新少林寺,释延能,主演
新少林寺,余少群,主演
新少林寺,陈之辉,主演
新少林寺,于海,主演
新少林寺,桑伟淋,主演
新少林寺,北京乐韬世纪文化传媒有限公司,制作
新少林寺,少林寺文化传播（登封）有限公司,制作
新少林寺,北京美涛佳艺影视文化传播有限责任公司,制作
新少林寺,河南电视台电视剧部,制作
新少林寺,梁镜珂,主演
新少林寺,刘德华,主演
新少林寺,成龙,主演
新少林寺,谢霆锋,主演
新少林寺,师小红,主演
新少林寺,陈木胜,导演
喜羊羊与灰太狼之兔年顶呱呱,上海电影股份有限公司影视发行分公司,发行
喜羊羊与灰太狼之兔年顶呱呱,广州美亚华天下电影发行有限公司,发行
喜羊羊与灰太狼之兔年顶呱呱,广东原创动力文化传播有限公司,制作
喜羊羊与灰太狼之兔年顶呱呱,北京优扬文化传媒有限公司,制作
喜羊羊与灰太狼之兔年顶呱呱,张琳,主演
喜羊羊与灰太狼之兔年顶呱呱,上海炫动传播股份有限公司,制作
喜羊羊与灰太狼之兔年顶呱呱,赵娜,主演
喜羊羊与灰太狼之兔年顶呱呱,梁颖,主演
喜羊羊与灰太狼之兔年顶呱呱,谢维彤,主演
喜羊羊与灰太狼之兔年顶呱呱,邓玉婷,主演
喜羊羊与灰太狼之兔年顶呱呱,高全胜,主演
喜羊羊与灰太狼之兔年顶呱呱,祖丽晴,主演
喜羊羊与灰太狼之兔年顶呱呱,赵崇邦,导演
天赐,国家新闻出版广电总局电影卫星频道节目制作中心,制作
天赐,徐静蕾,主演
天赐,华夏电影发行有限责任公司,制作
天赐,华夏电影发行有限责任公司,发行
天赐,北京全线世纪影视策划有限公司,制作
天赐,威海影艺文化传播中心,制作
天赐,山东盛泉集团有限公司,制作
天赐,洋浦庄丞影视有限公司,制作
天赐,孙宪,导演
天赐,宁元元,主演
天赐,张荠然,主演
武林外传,国家新闻出版广电总局电影卫星频道节目制作中心,制作
武林外传,闫妮,主演
武林外传,姜超,主演
武林外传,范明,主演
武林外传,姚晨,主演
武林外传,北京联盟影业投资有限公司,制作
武林外传,张檬,主演
武林外传,张萌,主演
武林外传,倪虹洁,主演
武林外传,王磊,主演
武林外传,尚敬,导演
武林外传,空军电视艺术中心,制作
武林外传,北京小马奔腾文化传媒股份有限公司,制作
武林外传,肖剑,主演
武林外传,喻恩泰,主演
武林外传,北京国立常升影视文化传播有限公司,制作
武林外传,中联京华文化传播（北京）有限公司,制作
武林外传,午马,主演
武林外传,岳跃利,主演
武林外传,王浩燃,主演
老夫子之小水虎传奇,冯绍峰,主演
老夫子之小水虎传奇,邓超,主演
老夫子之小水虎传奇,华谊兄弟传媒股份有限公司,制作
老夫子之小水虎传奇,华谊兄弟传媒股份有限公司,发行
老夫子之小水虎传奇,张涵予,主演
老夫子之小水虎传奇,中影集团数字电影院线有限公司,发行
老夫子之小水虎传奇,车晓,主演
老夫子之小水虎传奇,张峻宁,主演
老夫子之小水虎传奇,巩新亮,主演
老夫子之小水虎传奇,老夫子控股公司,制作
老夫子之小水虎传奇,博美电影有限公司,制作
老夫子之小水虎传奇,蔡康永,主演
老夫子之小水虎传奇,萧亚轩,主演
老夫子之小水虎传奇,福富博,导演
老夫子之小水虎传奇,党昊,主演
老夫子之小水虎传奇,刘金山,主演
最强囍事2011,刘嘉玲,主演
最强囍事2011,李香琴,主演
最强囍事2011,闫妮,主演
最强囍事2011,薛家燕,主演
最强囍事2011,程前,主演
最强囍事2011,杨颖,主演
最强囍事2011,北京光线影业有限公司,制作
最强囍事2011,熊黛林,主演
最强囍事2011,香港天马电影出品有限公司,制作
最强囍事2011,安徽电影集团（安徽电影制片厂）,制作
最强囍事2011,谢楠,主演
最强囍事2011,阿朵,主演
最强囍事2011,黄百鸣,主演
最强囍事2011,古天乐,主演
最强囍事2011,杜汶泽,主演
最强囍事2011,陈庆嘉,导演
最强囍事2011,郑中基,主演
最强囍事2011,陈果,主演
最强囍事2011,鲍起静,主演
最强囍事2011,叶伟信,主演
最强囍事2011,邓丽欣,主演
最强囍事2011,谷祖琳,主演
最强囍事2011,江欣燕,主演
最强囍事2011,曾华倩,主演
