programName,currDate,score
0.5的爱情,2016/7/16,4.4
0.5的爱情,2016/8/8,4.4
0.5的爱情,2016/9/14,4.4
0.5的爱情,2016/7/20,4.4
0.5的爱情,2016/8/21,4.4
0.5的爱情,2016/7/19,4.4
0.5的爱情,2016/4/20,4.4
0.5的爱情,2016/9/16,4.4
0.5的爱情,2016/7/23,4.4
0.5的爱情,2016/9/11,4.4
0.5的爱情,2016/6/2,4.3
0.5的爱情,2016/4/26,4.4
0.5的爱情,2016/6/13,4.3
0.5的爱情,2016/8/15,4.4
0.5的爱情,2016/5/31,4.3
0.5的爱情,2016/5/27,4.4
0.5的爱情,2016/6/18,4.3
0.5的爱情,2016/6/6,4.3
0.5的爱情,2016/8/31,4.4
0.5的爱情,2016/7/22,4.4
0.5的爱情,2016/3/29,4.3
0.5的爱情,2016/4/21,4.4
0.5的爱情,2016/5/7,4.4
0.5的爱情,2016/5/3,4.4
0.5的爱情,2016/5/9,4.4
0.5的爱情,2016/5/17,4.4
0.5的爱情,2016/8/14,4.4
0.5的爱情,2016/3/16,4.4
0.5的爱情,2016/8/2,4.4
0.5的爱情,2016/3/19,4.4
0.5的爱情,2016/7/4,4.3
0.5的爱情,2016/3/28,4.3
0.5的爱情,2016/7/14,4.4
0.5的爱情,2016/7/29,4.4
0.5的爱情,2016/7/2,4.3
0.5的爱情,2016/6/14,4.3
0.5的爱情,2016/7/1,4.3
0.5的爱情,2016/6/20,4.3
0.5的爱情,2016/5/11,4.4
0.5的爱情,2016/6/17,4.3
0.5的爱情,2016/3/25,4.3
0.5的爱情,2016/9/7,4.4
0.5的爱情,2016/4/23,4.4
0.5的爱情,2016/5/21,4.4
0.5的爱情,2016/8/13,4.4
0.5的爱情,2016/5/12,4.4
0.5的爱情,2016/5/14,4.3
0.5的爱情,2016/5/15,4.3
0.5的爱情,2016/5/22,4.4
0.5的爱情,2016/8/10,4.4
0.5的爱情,2016/6/24,4.3
0.5的爱情,2016/7/28,4.4
0.5的爱情,2016/6/5,4.3
0.5的爱情,2016/6/27,4.3
