mediaName,relName,relationType
爱你的人,北京金亿乾坤电影发行有限公司,制作
爱你的人,张墨锡,主演
爱你的人,郑昊,主演
爱你的人,谢云鹏,导演
爱你的人,杜昌博,导演
爱你的人,方仿妨,制作人
爱你的人,柯伊玟,编剧
爱你的人,邓星光,制作人
爱你的人,邓星光,编剧
半场无战事,United International Pictures (UIP) ,发行
半场无战事,索尼电影娱乐公司,发行
半场无战事,Universal Pictures International ,发行
半场无战事,TriStar Pictures ,制作
半场无战事,TriStar Productions ,制作
半场无战事,Sony Pictures Releasing ,发行
半场无战事,Film4 ,制作
半场无战事,White Hare ,制作
半场无战事,Studio 8 ,制作
半场无战事,Marc Platt Productions ,制作
半场无战事,Dune Films ,制作
半场无战事,乔·阿尔文,主演
半场无战事,克里斯汀·斯图尔特,主演
半场无战事,克里斯·塔克,主演
半场无战事,加内特·赫德兰,主演
半场无战事,范·迪塞尔,主演
半场无战事,史蒂夫·马丁,主演
半场无战事,李安,制作人
半场无战事,李安,导演
半场无战事,Brian Bell ,制作人
半场无战事,Simon Cornwell ,制作人
半场无战事,Stephen Cornwell ,制作人
半场无战事,马克·普莱特,制作人
半场无战事,汤姆·罗斯曼,制作人
半场无战事,Rhodri Thomas ,制作人
半场无战事,本·方丹,编剧
半场无战事,让-克里斯托弗·卡斯特里,编剧
被劫持的爱情,上海大万文化传播有限公司,发行
被劫持的爱情,绍兴新锐传媒影视文化发展有限公司,制作
被劫持的爱情,上海光悦影视传播有限公司,制作
被劫持的爱情,上海予觉文化传播有限公司,制作
被劫持的爱情,陈姝,主演
被劫持的爱情,金为珩,主演
被劫持的爱情,周大勇,主演
被劫持的爱情,曾晨,主演
被劫持的爱情,周国宾,主演
被劫持的爱情,许榕真,主演
被劫持的爱情,吴天戈,导演
被劫持的爱情,崔辰,编剧
被劫持的爱情,周寻,编剧
比利·林恩的中场战事,United International Pictures (UIP) ,发行
比利·林恩的中场战事,索尼电影娱乐公司,发行
比利·林恩的中场战事,索尼发行公司,发行
比利·林恩的中场战事,Universal Pictures International ,发行
比利·林恩的中场战事,TriStar Pictures ,制作
比利·林恩的中场战事,TriStar Pictures ,发行
比利·林恩的中场战事,TriStar Productions ,制作
比利·林恩的中场战事,Sony Pictures Releasing ,发行
比利·林恩的中场战事,Film4 ,制作
比利·林恩的中场战事,White Hare ,制作
比利·林恩的中场战事,Studio 8 ,制作
比利·林恩的中场战事,Marc Platt Productions ,制作
比利·林恩的中场战事,Dune Films ,制作
比利·林恩的中场战事,博纳影业集团,制作
比利·林恩的中场战事,乔·阿尔文,主演
比利·林恩的中场战事,克里斯汀·斯图尔特,主演
比利·林恩的中场战事,克里斯·塔克,主演
比利·林恩的中场战事,加内特·赫德兰,主演
比利·林恩的中场战事,范·迪塞尔,主演
比利·林恩的中场战事,史蒂夫·马丁,主演
比利·林恩的中场战事,李安,制作人
比利·林恩的中场战事,李安,导演
比利·林恩的中场战事,brian bell,制作人
比利·林恩的中场战事,simon cornwell,制作人
比利·林恩的中场战事,stephen cornwell,制作人
比利·林恩的中场战事,马克·普莱特,制作人
比利·林恩的中场战事,汤姆·罗斯曼,制作人
比利·林恩的中场战事,rhodri thomas,制作人
比利·林恩的中场战事,本·方丹,编剧
比利·林恩的中场战事,让-克里斯托弗·卡斯特里,编剧
比利·林恩的中场战事,frank murray,制作人
丑娃,二十世纪福斯电影公司,发行
丑娃,二十世纪福斯公司,发行
丑娃,20世纪福克斯阿根廷分公司,发行
丑娃,梦工场动画,制作
丑娃,安娜·肯德里克,主演
丑娃,贾斯汀·汀布莱克,主演
丑娃,迈克·米歇尔,导演
丑娃,沃尔特·道恩,导演
丑娃,吉娜·夏,制作人
丑娃,Holly Edwards ,制作人
丑娃,Dannie Festa ,制作人
丑娃,乔纳森·阿贝尔,制作人
丑娃,乔纳森·阿贝尔,编剧
丑娃,格伦·伯杰,制作人
丑娃,格伦·伯杰,编剧
钢锯岭,Future Film ,发行
钢锯岭,Icon Film Distribution ,发行
钢锯岭,狮门影业公司,发行
钢锯岭,Pinema ,发行
钢锯岭,Pancinema ,发行
钢锯岭,Cross Creek Pictures ,制作
钢锯岭,顶峰娱乐公司,发行
钢锯岭,IM Global ,发行
钢锯岭,Bliss Media ,发行
钢锯岭,Pandemonium ,制作
钢锯岭,David Permut Productions ,制作
钢锯岭,Vendian Entertainment ,制作
钢锯岭,Icon Productions[us] ,制作
钢锯岭,Demarest Media ,制作
钢锯岭,熙颐影业,发行
钢锯岭,安德鲁·加菲尔德,主演
钢锯岭,泰莉莎·帕尔墨,主演
钢锯岭,bill mechanic,制作人
钢锯岭,大卫·珀马特,制作人
钢锯岭,paul currie,制作人
钢锯岭,michael bassick,制作人
钢锯岭,buddy patrick,制作人
钢锯岭,david s. greathouse,制作人
钢锯岭,william d. johnson,制作人
钢锯岭,mark c. manuel,制作人
钢锯岭,elexa ruth,制作人
